,station_status,last_reported,is_returning,is_renting,num_docks_disabled,num_bikes_disabled,num_docks_available,station_id,num_bikes_available,is_installed,num_ebikes_available,eightd_has_available_keys,legacy_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
457,active,1605136637,1,1,0,0,7,3304,20,1,0,False,3304,,,1605139205,1605139205,0,0
458,active,1605138753,1,1,0,0,27,3305,12,1,1,False,3305,,,1605139205,1605139205,1,0
459,active,1605132784,1,1,0,0,18,3306,5,1,0,False,3306,,,1605139205,1605139205,0,1
460,active,1605138415,1,1,0,0,22,3307,9,1,3,False,3307,,,1605139205,1605139205,0,1
461,active,1605138983,1,1,0,0,5,3308,22,1,0,False,3308,,,1605139205,1605139205,2,0
462,active,1605135723,1,1,0,0,18,3309,12,1,0,False,3309,,,1605139205,1605139205,0,0
463,active,1605138695,1,1,0,0,20,3310,4,1,3,False,3310,,,1605139205,1605139205,0,1
464,active,1605138857,1,1,0,0,1,3311,20,1,1,False,3311,,,1605139205,1605139205,1,0
465,active,1605138019,1,1,0,4,7,3312,28,1,4,False,3312,,,1605139205,1605139205,0,0
466,active,1605137444,1,1,0,0,18,3313,11,1,1,False,3313,,,1605139205,1605139205,0,0
467,active,1605138352,1,1,0,0,13,3314,19,1,3,False,3314,,,1605139205,1605139205,0,2
468,active,1605138565,1,1,0,1,7,3315,15,1,0,False,3315,,,1605139205,1605139205,0,0
469,active,1605138535,1,1,0,0,18,3317,6,1,1,False,3317,,,1605139205,1605139205,0,0
470,active,1605138447,1,1,0,1,11,3318,27,1,2,False,3318,,,1605139205,1605139205,0,1
471,active,1605132918,1,1,0,2,1,3319,18,1,1,False,3319,,,1605139205,1605139205,0,0
472,active,1605138963,1,1,0,0,3,3321,22,1,0,False,3321,,,1605139205,1605139205,2,0
473,active,1605139106,1,1,0,0,2,3322,23,1,1,False,3322,,,1605139205,1605139205,0,0
474,active,1605138720,1,1,0,2,44,3323,13,1,5,True,3323,,,1605139205,1605139205,4,0
475,active,1605122400,1,1,0,0,0,3324,25,1,0,False,3324,,,1605139205,1605139205,0,0
476,active,1605138123,1,1,0,0,27,3325,4,1,3,False,3325,,,1605139205,1605139205,0,1
477,active,1605134082,1,1,0,0,11,3326,10,1,1,False,3326,,,1605139205,1605139205,0,0
478,active,1605139095,1,1,0,0,19,3327,8,1,2,False,3327,,,1605139205,1605139205,0,1
479,active,1605138155,1,1,0,2,29,3328,8,1,2,False,3328,,,1605139205,1605139205,1,0
480,active,1605136607,1,1,0,0,10,3329,17,1,1,False,3329,,,1605139205,1605139205,0,0
481,active,1605136528,1,1,0,0,13,3330,6,1,3,False,3330,,,1605139205,1605139205,0,0
482,active,1605137380,1,1,0,2,35,3331,2,1,2,True,3331,,,1605139205,1605139205,1,0
483,active,1605137620,1,1,0,0,4,3332,15,1,1,False,3332,,,1605139205,1605139205,1,0
484,active,1605128706,1,1,0,0,3,3333,18,1,0,False,3333,,,1605139205,1605139205,0,0
485,active,1605138849,1,1,0,2,1,3335,25,1,0,False,3335,,,1605139205,1605139205,0,0
486,active,1605138817,1,1,0,4,31,3336,6,1,2,False,3336,,,1605139205,1605139205,0,1
487,active,1605128025,1,1,0,0,3,3337,20,1,0,False,3337,,,1605139205,1605139205,0,0
488,active,1605134940,1,1,0,0,6,3338,25,1,2,False,3338,,,1605139205,1605139205,0,1
489,active,1605136875,1,1,0,0,7,3339,16,1,0,False,3339,,,1605139205,1605139205,0,0
490,active,1605107086,1,1,0,0,1,3340,20,1,0,False,3340,,,1605139205,1605139205,0,0
491,active,1605134661,1,1,0,0,4,3342,19,1,0,False,3342,,,1605139205,1605139205,0,0
492,active,1605138381,1,1,0,0,19,3343,4,1,1,False,3343,,,1605139205,1605139205,0,0
493,active,1605132681,1,1,0,0,13,3344,6,1,0,False,3344,,,1605139205,1605139205,1,0
494,active,1605138589,1,1,0,0,23,3345,12,1,0,False,3345,,,1605139205,1605139205,1,0
495,active,1605138537,1,1,0,0,25,3346,4,1,0,False,3346,,,1605139205,1605139205,0,0
496,active,1605130989,1,1,0,3,7,3347,11,1,0,False,3347,,,1605139205,1605139205,0,0
497,active,1605131850,1,1,0,0,6,3348,13,1,0,False,3348,,,1605139205,1605139205,0,0
498,active,1605137865,1,1,0,1,28,3349,1,1,0,False,3349,,,1605139205,1605139205,2,0
499,active,1605139202,1,1,0,1,29,3350,9,1,2,False,3350,,,1605139205,1605139205,2,0
500,active,1605137934,1,1,0,5,7,3351,13,1,4,False,3351,,,1605139205,1605139205,0,0
501,active,1605129093,1,1,0,0,7,3352,14,1,1,False,3352,,,1605139205,1605139205,1,0
