,num_bikes_available,num_bikes_disabled,num_docks_available,is_installed,last_reported,station_status,station_id,num_docks_disabled,is_returning,is_renting,eightd_has_available_keys,num_ebikes_available,legacy_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
604,20,0,7,1,1604654525,active,3504,0,1,1,True,2,3504,,,1604660405,1604660405,0,0
605,6,6,21,1,1604641318,active,3505,0,1,1,False,0,3505,,,1604660405,1604660405,1,0
606,21,0,8,1,1604649503,active,3506,0,1,1,False,0,3506,,,1604660405,1604660405,0,4
607,30,0,6,1,1604658141,active,3507,0,1,1,False,2,3507,,,1604660405,1604660405,1,0
608,13,1,17,1,1604652973,active,3508,0,1,1,False,5,3508,,,1604660405,1604660405,1,0
609,25,0,6,1,1604645898,active,3509,0,1,1,False,6,3509,,,1604660405,1604660405,0,2
610,27,0,4,1,1604646690,active,3510,0,1,1,False,0,3510,,,1604660405,1604660405,0,1
611,19,2,1,1,1604660335,active,3511,0,1,1,False,1,3511,,,1604660405,1604660405,0,0
612,6,0,15,1,1604635953,active,3513,0,1,1,False,1,3513,,,1604660405,1604660405,0,0
613,7,0,16,1,1604658719,active,3514,0,1,1,False,0,3514,,,1604660405,1604660405,0,0
614,0,0,7,0,1601651096,out_of_service,3515,0,0,0,False,0,3515,,,1604660405,1604660405,0,0
615,9,0,22,1,1604643682,active,3516,0,1,1,False,0,3516,,,1604660405,1604660405,0,1
616,29,1,5,1,1604659172,active,3517,0,1,1,False,1,3517,,,1604660405,1604660405,2,0
617,22,0,12,1,1604657087,active,3518,0,1,1,True,2,3518,,,1604660405,1604660405,0,0
618,25,1,1,1,1604642305,active,3520,0,1,1,False,0,3520,,,1604660405,1604660405,0,2
619,34,1,1,1,1604660204,active,3521,0,1,1,False,2,3521,,,1604660405,1604660405,0,4
620,7,0,12,1,1604652528,active,3522,0,1,1,False,3,3522,,,1604660405,1604660405,0,0
621,19,0,6,1,1604647244,active,3523,0,1,1,False,4,3523,,,1604660405,1604660405,0,3
622,13,1,9,1,1604636130,active,3524,0,0,0,False,7,3524,,,1604660405,1604660405,0,0
623,7,0,14,1,1604636915,active,3525,0,1,1,False,0,3525,,,1604660405,1604660405,0,0
624,0,0,21,1,1604655049,active,3526,0,1,1,False,0,3526,,,1604660405,1604660405,0,0
625,19,1,7,1,1604642679,active,3527,0,1,1,False,2,3527,,,1604660405,1604660405,0,0
626,13,1,7,1,1604649253,active,3528,0,1,1,False,6,3528,,,1604660405,1604660405,0,1
627,16,1,8,1,1604641687,active,3529,0,1,1,False,0,3529,,,1604660405,1604660405,0,0
628,2,0,17,1,1604659583,active,3530,0,1,1,False,1,3530,,,1604660405,1604660405,0,2
629,21,0,6,1,1604657008,active,3531,0,1,1,False,3,3531,,,1604660405,1604660405,0,1
630,0,0,0,1,86400,active,3532,0,1,1,False,0,3532,,,1604660405,1604660405,0,0
631,25,1,8,1,1604643902,active,3533,0,1,1,False,2,3533,,,1604660405,1604660405,0,0
632,31,2,6,1,1604658119,active,3534,0,1,1,False,6,3534,,,1604660405,1604660405,0,1
633,23,0,4,1,1604656664,active,3535,0,1,1,False,1,3535,,,1604660405,1604660405,0,1
634,22,0,21,1,1604647953,active,3536,0,1,1,False,1,3536,,,1604660405,1604660405,0,0
635,2,0,27,1,1604636329,active,3537,0,1,1,False,0,3537,,,1604660405,1604660405,0,1
636,4,1,40,1,1604643637,active,3538,0,1,1,False,3,3538,,,1604660405,1604660405,2,0
637,24,0,19,1,1604660168,active,3539,0,1,1,False,5,3539,,,1604660405,1604660405,2,0
638,31,0,4,1,1604641057,active,3540,0,1,1,False,0,3540,,,1604660405,1604660405,1,0
639,38,1,0,1,1604648613,active,3541,0,1,1,False,1,3541,,,1604660405,1604660405,0,2
640,2,0,27,1,1604636334,active,3542,0,1,1,False,0,3542,,,1604660405,1604660405,0,1
641,6,0,29,1,1604636014,active,3543,0,1,1,False,0,3543,,,1604660405,1604660405,0,0
642,13,1,13,1,1604647654,active,3544,0,1,1,False,1,3544,,,1604660405,1604660405,0,1
