,is_installed,is_renting,is_returning,num_docks_available,last_reported,num_docks_disabled,eightd_has_available_keys,station_id,num_ebikes_available,num_bikes_disabled,station_status,num_bikes_available,legacy_id,eightd_active_station_services,valet,starttime,timestamp,demand,supply
464,1,1,1,11,1605038359,0,False,3311,1,0,active,10,3311,,,1605038400,1605038400,2,0
465,1,1,1,15,1605038223,0,False,3312,0,2,active,22,3312,,,1605038400,1605038400,1,0
466,1,1,1,18,1605038148,0,False,3313,1,0,active,11,3313,,,1605038400,1605038400,0,3
467,1,1,1,29,1605038297,0,False,3314,0,1,active,2,3314,,,1605038400,1605038400,0,0
468,1,1,1,3,1605038396,0,False,3315,0,2,active,18,3315,,,1605038400,1605038400,0,2
469,1,1,1,1,1605036546,0,False,3317,0,1,active,22,3317,,,1605038400,1605038400,1,0
470,1,1,1,15,1605038084,0,False,3318,1,2,active,22,3318,,,1605038400,1605038400,0,0
471,1,1,1,6,1605038073,0,False,3319,0,1,active,14,3319,,,1605038400,1605038400,5,0
472,1,1,1,10,1605038328,0,False,3321,2,1,active,14,3321,,,1605038400,1605038400,0,2
473,1,1,1,4,1605037209,0,False,3322,0,1,active,20,3322,,,1605038400,1605038400,2,0
474,1,1,1,53,1605038332,0,True,3323,1,3,active,3,3323,,,1605038400,1605038400,0,2
475,1,1,1,0,1605037150,0,False,3324,2,1,active,24,3324,,,1605038400,1605038400,0,2
476,1,1,1,28,1605037898,0,False,3325,0,1,active,2,3325,,,1605038400,1605038400,0,0
477,1,1,1,2,1605037061,0,False,3326,0,1,active,18,3326,,,1605038400,1605038400,2,0
478,1,1,1,19,1605035812,0,False,3327,2,0,active,8,3327,,,1605038400,1605038400,0,1
479,1,1,1,36,1605038333,0,False,3328,0,3,active,0,3328,,,1605038400,1605038400,4,0
480,1,1,1,17,1605038064,0,False,3329,2,2,active,8,3329,,,1605038400,1605038400,0,3
481,0,0,0,0,1605022181,0,False,3330,0,3,out_of_service,0,3330,,,1605038400,1605038400,0,0
482,1,1,1,35,1605038364,0,True,3331,0,1,active,3,3331,,,1605038400,1605038400,4,0
483,1,1,1,14,1605037874,0,False,3332,0,0,active,5,3332,,,1605038400,1605038400,0,2
484,1,1,1,4,1605035725,0,False,3333,0,0,active,17,3333,,,1605038400,1605038400,2,0
485,1,1,1,0,1605037517,0,False,3335,1,1,active,27,3335,,,1605038400,1605038400,0,1
486,1,1,1,26,1605038382,0,False,3336,1,3,active,12,3336,,,1605038400,1605038400,0,6
487,1,1,1,3,1605035735,0,False,3337,0,0,active,20,3337,,,1605038400,1605038400,1,0
488,1,1,1,2,1605038391,0,False,3338,2,0,active,29,3338,,,1605038400,1605038400,0,0
489,1,1,1,18,1605038222,0,False,3339,0,0,active,5,3339,,,1605038400,1605038400,3,0
490,1,1,1,1,1605037404,0,False,3340,0,0,active,20,3340,,,1605038400,1605038400,0,0
491,1,1,1,1,1605037182,0,False,3342,0,0,active,22,3342,,,1605038400,1605038400,1,0
492,1,1,1,23,1605032976,0,False,3343,0,0,active,0,3343,,,1605038400,1605038400,0,0
493,1,1,1,10,1605037573,0,False,3344,0,0,active,9,3344,,,1605038400,1605038400,0,1
494,1,1,1,4,1605037588,0,False,3345,12,1,active,30,3345,,,1605038400,1605038400,0,10
495,1,1,1,26,1605037676,0,False,3346,0,1,active,2,3346,,,1605038400,1605038400,1,0
496,1,1,1,16,1605037272,0,False,3347,0,2,active,3,3347,,,1605038400,1605038400,2,0
497,1,1,1,12,1605038343,0,False,3348,0,0,active,7,3348,,,1605038400,1605038400,0,0
498,1,1,1,3,1605038395,0,False,3349,2,2,active,25,3349,,,1605038400,1605038400,0,6
499,1,1,1,35,1605038283,0,False,3350,0,3,active,1,3350,,,1605038400,1605038400,5,0
500,1,1,1,11,1605038393,0,False,3351,0,1,active,13,3351,,,1605038400,1605038400,0,5
501,1,1,1,3,1605036974,0,False,3352,0,0,active,18,3352,,,1605038400,1605038400,1,0
502,1,1,1,27,1605036999,0,True,3354,2,0,active,4,3354,,,1605038400,1605038400,0,1
503,1,1,1,9,1605038305,0,False,3355,0,2,active,14,3355,,,1605038400,1605038400,3,0
504,1,1,1,20,1605038078,0,False,3356,0,0,active,1,3356,,,1605038400,1605038400,0,0
505,1,1,1,32,1605038086,0,False,3357,0,2,active,1,3357,,,1605038400,1605038400,0,1
506,1,1,1,20,1605037834,0,False,3358,0,1,active,4,3358,,,1605038400,1605038400,0,2
507,1,1,1,38,1605037440,0,False,3359,0,1,active,2,3359,,,1605038400,1605038400,3,0
508,1,1,1,22,1605037419,0,False,3361,0,0,active,1,3361,,,1605038400,1605038400,3,0
509,1,1,1,27,1605037905,0,False,3362,1,0,active,7,3362,,,1605038400,1605038400,0,2
510,1,1,1,5,1605038320,0,False,3363,4,0,active,28,3363,,,1605038400,1605038400,0,1
511,1,1,1,4,1605038395,0,False,3364,0,1,active,22,3364,,,1605038400,1605038400,1,0
512,1,1,1,24,1605037188,0,False,3365,0,0,active,3,3365,,,1605038400,1605038400,0,2
513,1,1,1,28,1605038347,0,False,3366,1,1,active,2,3366,,,1605038400,1605038400,0,2
