,last_reported,station_id,is_installed,station_status,legacy_id,eightd_has_available_keys,num_docks_available,is_returning,num_docks_disabled,num_bikes_disabled,num_bikes_available,num_ebikes_available,is_renting,valet,eightd_active_station_services,starttime,timestamp,demand,supply
640,1604782771,3542,1,active,3542,False,26,1,0,0,3,0,1,,,1604782800,1604782800,0,1
641,1604782598,3543,1,active,3543,False,34,1,0,1,0,0,1,,,1604782800,1604782800,0,0
642,1604782754,3544,1,active,3544,False,25,1,0,2,0,0,1,,,1604782800,1604782800,4,0
643,1604782724,3545,1,active,3545,False,21,1,0,0,12,0,1,,,1604782800,1604782800,2,0
644,1604781422,3546,1,active,3546,False,21,1,0,0,0,0,1,,,1604782800,1604782800,0,0
645,1604782698,3547,1,active,3547,False,8,1,0,2,31,0,1,,,1604782800,1604782800,0,0
646,1604782554,3549,1,active,3549,False,22,1,0,3,0,0,1,,,1604782800,1604782800,9,0
647,1604778278,3551,1,active,3551,False,15,1,0,0,8,0,1,,,1604782800,1604782800,0,1
648,1604782708,3552,1,active,3552,False,38,1,0,0,1,0,1,,,1604782800,1604782800,0,1
649,1604782581,3553,1,active,3553,False,24,1,0,2,11,1,1,,,1604782800,1604782800,2,0
650,1604782301,3554,1,active,3554,False,14,1,0,4,9,0,1,,,1604782800,1604782800,0,3
651,1604782540,3555,1,active,3555,False,26,1,0,1,0,0,1,,,1604782800,1604782800,1,0
652,1604779470,3557,1,active,3557,False,2,1,0,1,16,0,1,,,1604782800,1604782800,1,0
653,1604782091,3558,1,active,3558,False,1,1,0,3,23,4,1,,,1604782800,1604782800,0,3
654,1604778012,3559,1,active,3559,False,16,1,0,0,3,0,1,,,1604782800,1604782800,0,0
655,1604782667,3561,1,active,3561,False,20,1,0,2,4,0,1,,,1604782800,1604782800,0,1
656,1604780612,3562,1,active,3562,False,27,1,0,0,0,0,1,,,1604782800,1604782800,2,0
657,1604782729,3563,1,active,3563,False,27,1,0,0,2,1,1,,,1604782800,1604782800,0,1
658,1604782700,3564,1,active,3564,False,13,1,0,1,5,0,1,,,1604782800,1604782800,0,1
659,1604780744,3565,1,active,3565,False,18,1,0,1,0,0,1,,,1604782800,1604782800,2,0
660,1604780179,3566,1,active,3566,False,25,1,0,0,0,0,1,,,1604782800,1604782800,4,0
661,1604774467,3567,1,active,3567,False,16,1,0,0,3,0,1,,,1604782800,1604782800,0,2
662,1604778963,3568,1,active,3568,False,21,1,0,0,0,0,1,,,1604782800,1604782800,2,0
663,1604782574,3569,1,active,3569,False,27,1,0,1,1,0,1,,,1604782800,1604782800,0,1
664,1604780670,3570,1,active,3570,False,31,1,0,0,0,0,1,,,1604782800,1604782800,1,0
665,1604782474,3571,1,active,3571,False,23,1,0,0,1,0,1,,,1604782800,1604782800,1,0
666,1604782444,3572,1,active,3572,False,28,1,0,3,2,1,1,,,1604782800,1604782800,0,1
667,1604778915,3573,1,active,3573,False,25,1,0,0,0,0,1,,,1604782800,1604782800,0,0
668,1604782728,3574,1,active,3574,False,11,1,0,2,10,0,1,,,1604782800,1604782800,3,0
669,1604781911,3575,1,active,3575,False,17,1,0,2,0,0,1,,,1604782800,1604782800,2,0
670,1604782714,3576,1,active,3576,False,3,1,0,3,21,0,1,,,1604782800,1604782800,0,0
671,1604782682,3577,1,active,3577,False,21,1,0,0,2,0,1,,,1604782800,1604782800,0,1
672,1604782303,3578,1,active,3578,False,20,1,0,0,1,0,1,,,1604782800,1604782800,0,1
673,1604782728,3579,1,active,3579,False,22,1,0,1,2,0,1,,,1604782800,1604782800,0,0
674,1604782338,3580,1,active,3580,False,25,1,0,0,5,0,1,,,1604782800,1604782800,0,3
675,1604782789,3581,1,active,3581,False,5,1,0,2,20,1,1,,,1604782800,1604782800,0,1
676,1604782692,3582,1,active,3582,False,26,1,0,1,1,0,1,,,1604782800,1604782800,0,1
677,1604782598,3583,1,active,3583,False,20,1,0,1,10,0,1,,,1604782800,1604782800,0,7
678,1604782701,3584,1,active,3584,False,39,1,0,1,2,1,1,,,1604782800,1604782800,0,2
679,1604782682,3585,1,active,3585,False,17,1,0,1,6,0,1,,,1604782800,1604782800,2,0
680,1604781749,3586,1,active,3586,False,5,1,0,0,14,0,1,,,1604782800,1604782800,1,0
681,1604782621,3587,1,active,3587,False,22,1,0,0,5,1,1,,,1604782800,1604782800,0,2
682,1604782786,3588,1,active,3588,False,3,1,0,0,18,0,1,,,1604782800,1604782800,0,5
683,1604782613,3589,1,active,3589,False,14,1,0,1,4,0,1,,,1604782800,1604782800,1,0
684,1604781802,3590,1,active,3590,False,17,1,0,0,2,1,1,,,1604782800,1604782800,0,1
685,1604780640,3591,1,active,3591,False,20,1,0,0,1,0,1,,,1604782800,1604782800,3,0
686,1604782650,3592,1,active,3592,False,19,1,0,0,0,0,1,,,1604782800,1604782800,0,0
687,1604782728,3593,1,active,3593,False,33,1,0,0,2,0,1,,,1604782800,1604782800,1,0
688,1604781859,3595,1,active,3595,False,14,1,0,3,1,0,1,,,1604782800,1604782800,0,0
689,1604782180,3596,1,active,3596,False,3,1,0,1,15,0,1,,,1604782800,1604782800,0,0
690,1604782304,3597,1,active,3597,False,25,1,0,0,0,0,1,,,1604782800,1604782800,4,0
691,1604782190,3598,1,active,3598,False,18,1,0,0,1,0,1,,,1604782800,1604782800,2,0
692,1604782667,3600,1,active,3600,False,25,1,0,1,1,0,1,,,1604782800,1604782800,2,0
693,1604782440,3601,1,active,3601,False,12,1,0,1,6,0,1,,,1604782800,1604782800,0,2
694,1604782441,3602,1,active,3602,False,21,1,0,1,1,0,1,,,1604782800,1604782800,6,0
695,1604781029,3603,1,active,3603,False,21,1,0,0,0,0,1,,,1604782800,1604782800,1,0
696,1604782468,3604,1,active,3604,False,8,1,0,1,8,0,1,,,1604782800,1604782800,0,3
697,1604780497,3605,1,active,3605,False,20,1,0,1,0,0,1,,,1604782800,1604782800,0,0
698,1604779553,3606,1,active,3606,False,14,1,0,0,7,0,1,,,1604782800,1604782800,0,0
699,1604782434,3607,1,active,3607,False,17,1,0,0,2,0,1,,,1604782800,1604782800,0,0
700,1604781587,3608,1,active,3608,False,17,1,0,0,4,0,1,,,1604782800,1604782800,0,0
701,1604782629,3609,1,active,3609,False,8,1,0,0,15,1,1,,,1604782800,1604782800,1,0
702,1604782568,3610,1,active,3610,False,7,1,1,0,19,0,1,,,1604782800,1604782800,0,4
703,1604782719,3611,1,active,3611,False,13,1,0,3,15,0,1,,,1604782800,1604782800,8,0
704,1604781518,3612,1,active,3612,False,15,1,0,0,0,0,1,,,1604782800,1604782800,1,0
705,1604782701,3613,1,active,3613,False,15,1,0,5,7,0,1,,,1604782800,1604782800,4,0
706,1604782396,3614,1,active,3614,False,10,1,0,1,1,0,1,,,1604782800,1604782800,1,0
707,1604782314,3615,1,active,3615,False,17,1,0,0,4,0,1,,,1604782800,1604782800,0,3
708,1604782738,3616,1,active,3616,False,21,1,0,3,1,0,1,,,1604782800,1604782800,1,0
709,1604782288,3617,1,active,3617,False,25,1,0,0,2,0,1,,,1604782800,1604782800,0,0
710,1604782525,3618,1,active,3618,False,28,1,0,2,3,0,1,,,1604782800,1604782800,0,0
711,1604781243,3619,1,active,3619,False,18,1,0,0,1,0,1,,,1604782800,1604782800,2,0
712,1604782739,3620,1,active,3620,False,12,1,0,1,10,2,1,,,1604782800,1604782800,1,0
713,1604782641,3621,1,active,3621,False,13,1,0,0,6,0,1,,,1604782800,1604782800,0,3
714,1604782736,3622,1,active,3622,False,18,1,0,2,3,0,1,,,1604782800,1604782800,2,0
715,1604782635,3623,1,active,3623,False,31,1,0,1,7,0,1,,,1604782800,1604782800,0,6
716,1604782766,3628,1,active,3628,False,19,1,0,0,12,1,1,,,1604782800,1604782800,0,1
717,1604782571,3629,1,active,3629,False,14,1,0,2,17,0,1,,,1604782800,1604782800,0,4
718,1604782552,3630,1,active,3630,False,12,1,0,1,20,0,1,,,1604782800,1604782800,7,0
719,1604782048,3635,1,active,3635,False,1,0,0,3,39,7,0,,,1604782800,1604782800,0,0
