,station_id,num_bikes_disabled,num_docks_available,is_returning,num_docks_disabled,legacy_id,is_installed,eightd_has_available_keys,num_bikes_available,is_renting,last_reported,num_ebikes_available,station_status,starttime,timestamp,demand,supply
931,3921,1,13,1,0,3921,1,False,5,1,1605084915,1,active,1605088800,1605088800,0,2
932,3922,0,7,1,0,3922,1,False,12,1,1605086122,0,active,1605088800,1605088800,0,0
933,3923,0,16,1,0,3923,1,False,1,1,1605084916,0,active,1605088800,1605088800,0,0
934,3924,1,16,1,0,3924,1,False,8,1,1605084915,0,active,1605088800,1605088800,0,0
935,3925,0,9,1,0,3925,1,False,12,1,1605086122,1,active,1605088800,1605088800,0,0
936,3926,1,16,1,0,3926,1,False,3,1,1605084916,0,active,1605088800,1605088800,0,0
937,3927,1,22,1,0,3927,1,False,4,1,1605087133,1,active,1605088800,1605088800,0,0
938,3928,2,11,1,0,3928,1,False,5,1,1605088068,0,active,1605088800,1605088800,0,0
939,3929,1,9,1,0,3929,1,False,9,1,1605084917,1,active,1605088800,1605088800,0,0
940,3930,0,12,1,0,3930,1,False,7,1,1605086120,0,active,1605088800,1605088800,0,0
941,3931,0,18,1,0,3931,1,False,5,1,1605086124,0,active,1605088800,1605088800,0,0
942,3932,0,17,1,0,3932,1,False,6,1,1605086120,0,active,1605088800,1605088800,0,0
943,3933,0,1,1,0,3933,1,False,18,1,1605086122,1,active,1605088800,1605088800,0,0
944,3934,2,23,1,0,3934,1,False,2,1,1605086120,1,active,1605088800,1605088800,0,1
945,3935,1,15,1,0,3935,1,False,3,1,1605084917,0,active,1605088800,1605088800,1,0
946,3936,2,16,1,0,3936,1,False,1,1,1605086122,1,active,1605088800,1605088800,0,0
947,3937,2,19,1,0,3937,1,False,2,1,1605086121,1,active,1605088800,1605088800,0,0
948,3938,0,12,1,0,3938,1,False,7,1,1605087329,1,active,1605088800,1605088800,0,0
949,3939,1,18,1,0,3939,1,False,2,1,1605086122,0,active,1605088800,1605088800,0,0
950,3940,1,14,1,0,3940,1,False,1,1,1605086122,1,active,1605088800,1605088800,0,0
951,3941,0,10,1,0,3941,1,False,7,1,1605086121,0,active,1605088800,1605088800,0,0
952,3942,1,14,1,0,3942,1,False,6,1,1605086122,1,active,1605088800,1605088800,0,0
953,3944,0,29,1,0,3944,1,False,1,1,1605086122,1,active,1605088800,1605088800,0,0
954,3945,1,20,1,0,3945,1,False,0,1,1605086121,0,active,1605088800,1605088800,0,0
955,3946,0,18,1,0,3946,1,False,3,1,1605088260,1,active,1605088800,1605088800,0,1
956,3947,0,17,1,0,3947,1,False,1,1,1605087443,0,active,1605088800,1605088800,0,0
957,3948,0,22,1,0,3948,1,False,1,1,1605086120,1,active,1605088800,1605088800,0,0
958,3949,0,6,1,0,3949,1,False,17,1,1605087927,1,active,1605088800,1605088800,0,0
959,3950,0,17,1,0,3950,1,False,2,1,1605086121,1,active,1605088800,1605088800,0,0
960,3951,0,15,1,0,3951,1,False,4,1,1605086120,2,active,1605088800,1605088800,0,0
961,3952,1,17,1,0,3952,1,False,1,1,1605086121,1,active,1605088800,1605088800,0,0
962,3953,0,22,1,0,3953,1,False,3,1,1605086122,1,active,1605088800,1605088800,0,0
963,3955,0,17,1,0,3955,1,False,2,1,1605087060,0,active,1605088800,1605088800,0,0
964,3956,1,21,1,0,3956,1,False,1,1,1605086121,0,active,1605088800,1605088800,0,0
965,3957,0,18,1,0,3957,1,False,1,1,1605086121,0,active,1605088800,1605088800,0,0
966,3958,0,22,1,0,3958,1,False,1,1,1605086121,0,active,1605088800,1605088800,0,0
967,3959,2,27,1,0,3959,1,False,2,1,1605086121,2,active,1605088800,1605088800,0,1
968,3960,1,16,1,0,3960,1,False,4,1,1605086121,3,active,1605088800,1605088800,0,1
969,3961,0,1,1,0,3961,1,False,18,1,1605086121,1,active,1605088800,1605088800,0,0
970,3963,2,3,1,0,3963,1,False,26,1,1605086120,0,active,1605088800,1605088800,0,0
971,3964,2,15,1,0,3964,1,False,3,1,1605086122,0,active,1605088800,1605088800,0,0
972,3965,0,16,1,0,3965,1,False,3,1,1605086122,1,active,1605088800,1605088800,0,0
973,3966,1,8,1,0,3966,1,False,10,1,1605086121,2,active,1605088800,1605088800,0,0
974,3967,0,28,1,0,3967,1,False,2,1,1605087210,2,active,1605088800,1605088800,0,0
975,3968,1,9,1,0,3968,1,False,11,1,1605086121,4,active,1605088800,1605088800,0,0
976,3969,0,14,1,0,3969,1,False,5,1,1605086121,0,active,1605088800,1605088800,0,0
977,3970,1,9,1,0,3970,1,False,9,1,1605086121,0,active,1605088800,1605088800,0,0
978,3972,0,4,1,2,3972,1,False,17,1,1605086122,0,active,1605088800,1605088800,0,0
979,3973,0,20,1,0,3973,1,False,6,1,1605086122,1,active,1605088800,1605088800,0,0
980,3975,0,4,1,0,3975,1,False,17,1,1605086123,0,active,1605088800,1605088800,0,0
981,3976,1,4,1,0,3976,1,False,14,1,1605087145,0,active,1605088800,1605088800,0,0
982,3977,0,28,1,0,3977,1,False,1,1,1605086122,1,active,1605088800,1605088800,0,0
983,3978,0,16,1,0,3978,1,False,2,1,1605086121,0,active,1605088800,1605088800,0,0
984,3980,1,19,1,0,3980,1,False,0,1,1605086122,0,active,1605088800,1605088800,0,0
985,3981,1,23,1,0,3981,1,False,0,1,1605086122,0,active,1605088800,1605088800,0,0
986,3982,0,7,1,0,3982,1,False,14,1,1605086121,0,active,1605088800,1605088800,0,0
987,3983,0,15,1,0,3983,1,False,8,1,1605086122,0,active,1605088800,1605088800,0,0
988,3984,1,16,1,0,3984,1,False,6,1,1605086121,1,active,1605088800,1605088800,0,0
989,3985,2,18,1,0,3985,1,False,2,1,1605086122,2,active,1605088800,1605088800,0,0
990,3986,0,31,1,0,3986,1,False,4,1,1605084915,0,active,1605088800,1605088800,0,0
991,3987,1,13,1,0,3987,1,False,9,1,1605086121,0,active,1605088800,1605088800,0,0
992,3988,0,0,1,0,3988,1,False,19,1,1605084916,1,active,1605088800,1605088800,0,0
993,3989,1,18,1,0,3989,1,False,3,1,1605087363,0,active,1605088800,1605088800,0,0
994,3992,0,47,1,0,3992,1,False,0,1,1605084915,0,active,1605088800,1605088800,24,0
995,3994,1,6,1,0,3994,1,False,23,1,1605086725,0,active,1605088800,1605088800,0,0
996,3995,1,16,1,0,3995,1,False,4,1,1605085317,0,active,1605088800,1605088800,0,0
997,3996,0,2,1,0,3996,1,False,22,1,1605087421,2,active,1605088800,1605088800,0,0
998,3997,0,10,1,0,3997,1,False,10,1,1605087720,2,active,1605088800,1605088800,0,0
999,3998,0,27,1,0,3998,1,False,2,1,1605085628,1,active,1605088800,1605088800,0,1
1000,3999,2,2,1,0,3999,1,False,19,1,1605086122,9,active,1605088800,1605088800,0,1
1001,4000,0,10,1,0,4000,1,False,12,1,1605086121,5,active,1605088800,1605088800,0,1
1002,4001,1,22,1,0,4001,1,False,1,1,1605086122,0,active,1605088800,1605088800,0,0
1003,4002,0,19,1,0,4002,1,False,5,1,1605086126,0,active,1605088800,1605088800,0,0
1004,4004,1,9,1,0,4004,1,False,11,1,1605088412,0,active,1605088800,1605088800,0,0
1005,4005,0,22,1,0,4005,1,False,2,1,1605086121,1,active,1605088800,1605088800,0,0
1006,4006,0,21,1,0,4006,1,False,4,1,1605086122,2,active,1605088800,1605088800,0,0
1007,4007,1,21,1,0,4007,1,False,8,1,1605086121,4,active,1605088800,1605088800,0,0
1008,4008,0,0,0,0,4008,0,False,0,0,86400,0,out_of_service,1605088800,1605088800,0,0
1009,4009,1,34,1,0,4009,1,False,0,1,1605086121,0,active,1605088800,1605088800,0,0
1010,4010,0,23,1,0,4010,1,False,1,1,1605087010,0,active,1605088800,1605088800,0,0
1011,4011,1,19,1,0,4011,1,False,5,1,1605086872,3,active,1605088800,1605088800,0,0
1012,4012,2,16,1,0,4012,1,False,5,1,1605086121,2,active,1605088800,1605088800,0,0
1013,4013,1,23,1,0,4013,1,False,0,1,1605086122,0,active,1605088800,1605088800,0,0
1014,4014,0,20,1,0,4014,1,False,2,1,1605086122,0,active,1605088800,1605088800,1,0
1015,4015,3,12,1,0,4015,1,False,16,1,1605087327,0,active,1605088800,1605088800,1,0
1016,4016,2,11,1,0,4016,1,False,9,1,1605084915,0,active,1605088800,1605088800,0,0
1017,4017,0,18,1,0,4017,1,False,4,1,1605086121,0,active,1605088800,1605088800,0,0
1018,4018,1,16,1,0,4018,1,False,4,1,1605086121,1,active,1605088800,1605088800,0,0
1019,4019,0,12,1,0,4019,1,False,5,1,1605086121,4,active,1605088800,1605088800,0,0
1020,4020,1,19,1,0,4020,1,False,2,1,1605088310,0,active,1605088800,1605088800,1,0
1021,4021,0,11,1,0,4021,1,False,10,1,1605086120,0,active,1605088800,1605088800,0,0
1022,4023,2,15,1,0,4023,1,False,7,1,1605087963,1,active,1605088800,1605088800,0,0
1023,4024,27,6,1,0,4024,1,False,0,0,1605088435,0,active,1605088800,1605088800,0,0
1024,4025,0,20,1,0,4025,1,False,0,1,1605086122,0,active,1605088800,1605088800,0,0
1025,4027,1,19,1,0,4027,1,False,3,1,1605087327,1,active,1605088800,1605088800,0,1
1026,4028,0,2,1,0,4028,1,False,17,1,1605086122,0,active,1605088800,1605088800,0,0
1027,4029,2,16,1,0,4029,1,False,5,1,1605086122,0,active,1605088800,1605088800,0,0
1028,4030,0,3,1,0,4030,1,False,20,1,1605087327,1,active,1605088800,1605088800,0,0
1029,4031,1,17,1,0,4031,1,False,1,1,1605086312,1,active,1605088800,1605088800,0,0
1030,4032,0,5,1,0,4032,1,False,14,1,1605086121,0,active,1605088800,1605088800,0,0
1031,4034,1,23,1,0,4034,1,False,3,1,1605086121,3,active,1605088800,1605088800,0,0
1032,4035,0,17,1,0,4035,1,False,3,1,1605086121,2,active,1605088800,1605088800,0,0
1033,4036,2,4,1,0,4036,1,False,30,1,1605086121,2,active,1605088800,1605088800,0,0
1034,4037,3,8,1,0,4037,1,False,28,1,1605086122,0,active,1605088800,1605088800,0,0
1035,4038,0,3,0,0,4038,1,False,26,0,1605047661,1,active,1605088800,1605088800,0,0
1036,4040,0,48,1,0,4040,1,False,3,1,1605077678,0,active,1605088800,1605088800,0,1
1037,4041,3,14,1,0,4041,1,False,1,1,1605088632,0,active,1605088800,1605088800,0,0
1038,4043,0,10,1,0,4043,1,False,14,1,1605081296,1,active,1605088800,1605088800,0,2
1039,4044,1,43,1,0,4044,1,False,5,1,1605087680,0,active,1605088800,1605088800,0,0
1040,4045,2,3,1,0,4045,1,False,34,1,1605087904,2,active,1605088800,1605088800,0,2
1041,4047,2,25,1,0,4047,1,False,0,1,1605086123,0,active,1605088800,1605088800,0,0
