,legacy_id,station_status,is_returning,station_id,num_bikes_available,eightd_has_available_keys,last_reported,is_installed,num_docks_disabled,num_bikes_disabled,is_renting,num_docks_available,num_ebikes_available,valet,eightd_active_station_services,starttime,timestamp,demand,supply
744,3686,active,1,3686,36,False,1604696382,1,0,2,1,1,1,,,1604696400,1604696400,0,0
745,3687,active,1,3687,63,False,1604696328,1,0,2,1,18,2,,,1604696400,1604696400,0,12
746,3689,active,1,3689,2,False,1604696346,1,0,1,1,44,1,,,1604696400,1604696400,0,1
747,3690,active,1,3690,19,False,1604696273,1,0,0,1,17,0,,,1604696400,1604696400,0,2
748,3691,active,1,3691,1,False,1604695742,1,0,1,1,17,0,,,1604696400,1604696400,1,0
749,3693,active,1,3693,27,False,1604695776,1,0,0,1,0,0,,,1604696400,1604696400,0,1
750,3694,active,1,3694,2,False,1604694683,1,0,0,1,16,0,,,1604696400,1604696400,1,0
751,3697,active,1,3697,2,False,1604695904,1,0,1,1,40,1,,,1604696400,1604696400,5,0
752,3699,active,1,3699,1,False,1604696379,1,26,2,1,1,0,,,1604696400,1604696400,0,1
753,3704,active,1,3704,12,False,1604681295,1,0,0,1,7,1,,,1604696400,1604696400,0,3
754,3707,active,1,3707,22,False,1604696279,1,0,0,1,33,0,,,1604696400,1604696400,0,3
755,3708,active,1,3708,17,False,1604696385,1,0,1,1,11,1,,,1604696400,1604696400,0,5
756,3709,active,1,3709,5,False,1604696340,1,0,0,1,46,0,,,1604696400,1604696400,0,2
757,3711,active,1,3711,20,False,1604696293,1,0,6,1,21,1,,,1604696400,1604696400,3,0
758,3712,active,1,3712,3,False,1604696389,1,0,0,1,36,2,,,1604696400,1604696400,0,1
759,3714,active,1,3714,4,False,1604694878,1,0,2,1,55,0,,,1604696400,1604696400,0,0
760,3715,active,1,3715,27,False,1604696245,1,0,2,1,2,1,,,1604696400,1604696400,0,1
761,3716,active,1,3716,7,False,1604694928,1,0,0,1,16,1,,,1604696400,1604696400,0,3
762,3718,active,1,3718,3,False,1604696331,1,1,1,1,41,0,,,1604696400,1604696400,5,0
763,3721,active,1,3721,7,False,1604696247,1,0,1,1,27,1,,,1604696400,1604696400,0,5
764,3723,active,1,3723,8,True,1604695685,1,0,0,1,22,0,,,1604696400,1604696400,0,3
765,3724,active,1,3724,4,False,1604696377,1,0,3,1,32,1,,,1604696400,1604696400,0,4
766,3725,active,1,3725,11,False,1604696358,1,0,4,1,26,0,,,1604696400,1604696400,0,10
767,3726,active,1,3726,1,False,1604694901,1,0,0,1,22,0,,,1604696400,1604696400,7,0
768,3727,active,1,3727,6,False,1604695239,1,0,1,1,31,0,,,1604696400,1604696400,1,0
769,3728,active,1,3728,2,False,1604696303,1,0,0,1,22,0,,,1604696400,1604696400,0,1
770,3731,active,1,3731,29,False,1604695483,1,0,0,1,17,2,,,1604696400,1604696400,0,6
771,3733,active,1,3733,5,False,1604696276,1,0,0,1,41,0,,,1604696400,1604696400,0,3
772,3734,active,1,3734,39,False,1604695683,1,0,3,1,8,0,,,1604696400,1604696400,0,3
773,3735,active,1,3735,23,False,1604696364,1,0,3,1,12,0,,,1604696400,1604696400,0,3
774,3736,out_of_service,0,3736,0,False,1601471240,0,0,0,0,3,0,,,1604696400,1604696400,0,0
775,3737,active,1,3737,13,False,1604696320,1,0,0,1,22,1,,,1604696400,1604696400,7,0
776,3738,active,1,3738,16,False,1604695952,1,0,1,1,14,0,,,1604696400,1604696400,3,0
777,3739,active,1,3739,18,False,1604696363,1,0,0,1,19,0,,,1604696400,1604696400,1,0
778,3740,active,1,3740,27,False,1604696377,1,0,1,1,6,0,,,1604696400,1604696400,0,2
779,3744,active,1,3744,3,False,1604696257,1,0,0,1,48,0,,,1604696400,1604696400,13,0
780,3745,active,1,3745,1,False,1604696385,1,0,1,1,25,0,,,1604696400,1604696400,0,1
781,3746,active,1,3746,46,False,1604696275,1,0,2,1,0,1,,,1604696400,1604696400,0,8
782,3749,active,1,3749,5,False,1604696366,1,0,0,1,18,1,,,1604696400,1604696400,0,2
783,3755,active,1,3755,2,False,1604696345,1,0,0,1,17,0,,,1604696400,1604696400,0,2
784,3756,active,1,3756,6,False,1604696246,1,0,0,1,15,1,,,1604696400,1604696400,2,0
785,3757,active,1,3757,22,False,1604694761,1,0,0,1,1,1,,,1604696400,1604696400,0,1
786,3758,active,1,3758,13,False,1604695968,1,0,1,1,5,0,,,1604696400,1604696400,3,0
787,3759,active,1,3759,12,False,1604696281,1,0,0,1,7,0,,,1604696400,1604696400,0,2
788,3760,active,1,3760,13,False,1604695702,1,0,0,1,10,0,,,1604696400,1604696400,0,1
789,3761,active,1,3761,0,False,1604695729,1,0,1,1,26,0,,,1604696400,1604696400,2,0
790,3762,active,1,3762,27,False,1604693005,1,0,0,1,0,1,,,1604696400,1604696400,0,2
791,3763,active,1,3763,11,False,1604695403,1,0,0,1,16,0,,,1604696400,1604696400,0,2
792,3764,active,1,3764,15,False,1604695151,1,0,0,1,6,0,,,1604696400,1604696400,0,0
793,3765,active,1,3765,9,False,1604694275,1,0,0,1,12,0,,,1604696400,1604696400,0,1
794,3766,active,1,3766,2,False,1604696198,1,0,1,1,21,0,,,1604696400,1604696400,0,1
795,3767,active,1,3767,1,False,1604696356,1,0,1,1,17,0,,,1604696400,1604696400,0,1
796,3768,active,1,3768,20,False,1604694382,1,0,0,1,3,0,,,1604696400,1604696400,0,0
797,3769,active,1,3769,20,False,1604695623,1,0,1,1,2,0,,,1604696400,1604696400,0,0
798,3770,active,1,3770,6,False,1604692755,1,0,1,1,14,0,,,1604696400,1604696400,2,0
799,3771,active,1,3771,16,False,1604695907,1,0,1,1,13,0,,,1604696400,1604696400,1,0
800,3772,active,1,3772,8,False,1604695351,1,0,0,1,11,0,,,1604696400,1604696400,2,0
