,num_ebikes_available,num_bikes_disabled,station_status,num_bikes_available,station_id,is_renting,eightd_has_available_keys,num_docks_available,is_installed,last_reported,is_returning,legacy_id,num_docks_disabled,eightd_active_station_services,valet,starttime,timestamp,demand,supply
92,0,1,active,28,328,1,False,6,1,1604634798,1,328,0,,,1604635195,1604635195,1,0
93,0,1,active,0,330,1,False,38,1,1604634619,1,330,0,,,1604635195,1604635195,0,0
94,0,3,active,24,331,1,False,0,1,1604630500,1,331,0,,,1604635195,1604635195,0,0
95,2,0,active,30,332,1,False,6,1,1604631636,1,332,0,,,1604635195,1604635195,0,0
96,0,0,active,16,334,1,False,15,1,1604635038,1,334,0,,,1604635195,1604635195,0,0
97,0,1,active,8,335,1,False,18,1,1604634956,1,335,0,,,1604635195,1604635195,0,2
98,0,0,active,34,336,1,False,2,1,1604634718,1,336,0,,,1604635195,1604635195,0,1
99,1,0,active,19,340,1,False,8,1,1604634826,1,340,0,,,1604635195,1604635195,2,0
100,0,0,active,1,341,1,False,18,1,1604632585,1,341,0,,,1604635195,1604635195,1,0
101,0,2,active,25,342,1,False,1,1,1604634976,1,342,1,,,1604635195,1604635195,0,1
102,0,0,active,7,343,1,False,16,1,1604635160,1,343,0,,,1604635195,1604635195,0,0
103,1,0,active,6,344,1,False,17,1,1604632664,1,344,0,,,1604635195,1604635195,0,0
104,1,0,active,26,346,1,False,1,1,1604633810,1,346,0,,,1604635195,1604635195,1,0
105,2,0,active,49,347,1,False,5,1,1604634616,1,347,0,,,1604635195,1604635195,0,7
106,3,1,active,13,349,1,False,47,1,1604635126,1,349,0,,,1604635195,1604635195,0,3
107,2,1,active,15,350,1,False,30,1,1604635111,1,350,1,,,1604635195,1604635195,3,0
108,0,2,active,33,351,1,False,4,1,1604634279,1,351,0,,,1604635195,1604635195,0,0
109,1,3,active,9,353,1,False,15,1,1604632044,1,353,0,,,1604635195,1604635195,0,2
110,1,0,active,17,354,1,False,30,1,1604634378,1,354,0,,,1604635195,1604635195,0,0
111,0,4,active,30,355,1,False,9,1,1604634708,1,355,0,,,1604635195,1604635195,5,0
112,1,1,active,18,356,1,False,4,1,1604634973,1,356,0,,,1604635195,1604635195,0,0
113,1,1,active,44,358,1,False,5,1,1604635075,1,358,0,,,1604635195,1604635195,0,3
114,0,0,active,1,359,1,False,77,1,1604635140,1,359,0,,,1604635195,1604635195,0,1
115,2,0,active,16,360,1,False,23,1,1604635033,1,360,0,,,1604635195,1604635195,0,3
116,0,2,active,26,361,1,False,51,1,1604634532,1,361,0,,,1604635195,1604635195,2,0
117,0,1,active,24,362,1,False,32,1,1604628670,1,362,0,,,1604635195,1604635195,0,0
118,0,0,out_of_service,0,363,0,False,1,0,1604591481,0,363,0,,,1604635195,1604635195,0,0
119,0,1,active,1,364,1,False,25,1,1604633680,1,364,0,,,1604635195,1604635195,0,0
120,1,0,active,22,366,1,False,11,1,1604635011,1,366,0,,,1604635195,1604635195,0,0
121,0,0,active,7,367,1,False,36,1,1604635151,1,367,0,,,1604635195,1604635195,0,1
122,0,2,active,31,368,1,False,14,1,1604635172,1,368,0,,,1604635195,1604635195,3,0
123,1,1,active,51,369,1,False,24,1,1604635117,1,369,0,,,1604635195,1604635195,0,4
124,4,1,active,8,372,1,False,18,1,1604635117,1,372,0,,,1604635195,1604635195,0,3
125,1,0,active,3,373,1,False,16,1,1604633880,1,373,0,,,1604635195,1604635195,0,0
126,5,1,active,19,376,1,False,23,1,1604635170,1,376,0,,,1604635195,1604635195,2,0
127,0,1,active,35,377,1,False,12,1,1604635017,1,377,0,,,1604635195,1604635195,0,2
128,0,1,active,37,379,1,False,18,1,1604635009,1,379,0,,,1604635195,1604635195,5,0
129,0,2,active,33,380,1,False,7,1,1604634969,1,380,0,,,1604635195,1604635195,0,6
130,0,3,active,34,383,1,False,2,1,1604634811,1,383,0,,,1604635195,1604635195,0,2
131,0,0,active,23,385,1,False,6,1,1604635117,1,385,0,,,1604635195,1604635195,0,0
132,0,2,active,49,386,1,False,31,1,1604631641,1,386,0,,,1604635195,1604635195,0,0
133,0,1,active,8,387,1,False,30,1,1604633512,1,387,0,,,1604635195,1604635195,0,0
134,1,1,active,3,388,1,False,31,1,1604633977,1,388,0,,,1604635195,1604635195,0,0
135,4,3,active,23,389,1,False,1,1,1604634658,1,389,0,,,1604635195,1604635195,0,0
136,0,3,active,23,390,1,False,5,1,1604633192,1,390,0,,,1604635195,1604635195,1,0
137,3,3,active,12,391,1,False,28,1,1604635119,1,391,0,,,1604635195,1604635195,0,0
138,0,1,active,21,392,1,False,13,1,1604633246,1,392,0,,,1604635195,1604635195,2,0
139,5,0,active,33,393,1,False,4,1,1604633457,1,393,0,,,1604635195,1604635195,2,0
140,0,0,out_of_service,0,394,0,False,0,0,86400,0,394,0,,,1604635195,1604635195,0,0
141,2,0,active,4,396,1,False,21,1,1604634709,1,396,0,,,1604635195,1604635195,0,1
142,1,1,active,5,397,1,False,69,1,1604634288,1,397,0,,,1604635195,1604635195,0,2
143,0,0,active,16,398,1,False,15,1,1604633433,1,398,0,,,1604635195,1604635195,0,0
144,2,2,active,5,399,1,False,32,1,1604633201,1,399,0,,,1604635195,1604635195,2,0
145,0,0,active,13,400,1,False,2,1,1604633766,1,400,0,,,1604635195,1604635195,1,0
146,0,0,active,18,401,1,False,24,1,1604634685,1,401,0,,,1604635195,1604635195,3,0
147,0,0,active,0,402,1,False,39,1,1604635037,1,402,0,,,1604635195,1604635195,1,0
148,1,2,active,24,403,1,False,5,1,1604634842,1,403,0,,,1604635195,1604635195,0,5
149,0,0,active,41,405,1,True,10,1,1604635014,1,405,0,,,1604635195,1604635195,0,1
150,0,0,active,8,406,1,False,12,1,1604631009,1,406,0,,,1604635195,1604635195,1,0
151,0,2,active,20,408,1,False,1,1,1604635000,1,408,0,,,1604635195,1604635195,1,0
152,0,4,active,32,410,1,False,9,1,1604635023,1,410,0,,,1604635195,1604635195,5,0
153,1,2,active,23,411,1,False,6,1,1604634969,1,411,0,,,1604635195,1604635195,5,0
154,0,3,active,22,412,1,False,4,1,1604634928,1,412,0,,,1604635195,1604635195,1,0
155,1,1,active,16,415,1,False,29,1,1604634973,1,415,0,,,1604635195,1604635195,0,0
156,3,2,active,13,416,1,False,16,1,1604632662,1,416,0,,,1604635195,1604635195,0,2
157,2,0,active,2,417,1,False,23,1,1604633563,1,417,0,,,1604635195,1604635195,0,2
158,0,2,active,34,418,1,False,1,1,1604632641,1,418,0,,,1604635195,1604635195,1,0
159,1,1,active,16,419,1,False,6,1,1604635069,1,419,0,,,1604635195,1604635195,0,1
160,1,1,active,10,420,1,False,40,1,1604633440,1,420,0,,,1604635195,1604635195,0,0
161,0,0,active,14,421,1,False,5,1,1604633207,1,421,0,,,1604635195,1604635195,0,0
162,6,2,active,27,422,1,False,49,1,1604634790,1,422,0,,,1604635195,1604635195,0,0
163,2,1,active,10,423,1,False,16,1,1604635069,1,423,0,,,1604635195,1604635195,0,2
164,3,5,active,20,426,1,True,5,1,1604635108,1,426,0,,,1604635195,1604635195,0,2
165,5,3,active,34,427,1,False,10,1,1604628325,1,427,0,,,1604635195,1604635195,0,0
166,1,1,active,30,432,1,False,0,1,1604635187,1,432,0,,,1604635195,1604635195,0,0
167,0,1,active,43,434,1,False,16,1,1604634272,1,434,0,,,1604635195,1604635195,0,4
168,0,4,active,1,435,1,False,45,1,1604634978,1,435,0,,,1604635195,1604635195,0,1
169,1,1,active,9,436,1,False,14,1,1604634034,1,436,3,,,1604635195,1604635195,0,0
170,0,0,active,1,437,1,False,23,1,1604633936,1,437,0,,,1604635195,1604635195,0,0
171,0,0,active,37,438,1,False,10,1,1604634586,1,438,0,,,1604635195,1604635195,0,0
172,0,2,active,32,439,1,False,9,1,1604634744,1,439,0,,,1604635195,1604635195,3,0
173,0,0,active,4,440,1,False,28,1,1604634705,1,440,0,,,1604635195,1604635195,1,0
174,0,3,active,8,442,1,False,40,1,1604634212,1,442,0,,,1604635195,1604635195,0,1
175,0,0,active,2,443,1,False,21,1,1604633287,1,443,0,,,1604635195,1604635195,0,0
176,2,1,active,79,445,1,False,0,1,1604634919,1,445,0,,,1604635195,1604635195,0,5
177,0,4,active,30,446,1,False,45,1,1604634649,1,446,0,,,1604635195,1604635195,0,0
178,0,1,active,19,447,1,False,11,1,1604634085,1,447,0,,,1604635195,1604635195,1,0
179,0,2,active,7,448,1,False,18,1,1604635013,1,448,0,,,1604635195,1604635195,1,0
180,1,3,active,50,450,1,False,14,1,1604635189,1,450,0,,,1604635195,1604635195,0,2
181,3,1,active,63,453,1,False,2,1,1604634662,1,453,0,,,1604635195,1604635195,2,0
182,2,3,active,19,454,1,False,13,1,1604634726,1,454,0,,,1604635195,1604635195,0,1
183,0,2,active,24,455,1,False,33,1,1604634757,1,455,0,,,1604635195,1604635195,0,0
184,0,1,active,0,456,1,False,33,1,1604634178,1,456,0,,,1604635195,1604635195,0,0
185,1,1,active,2,457,1,False,76,1,1604631609,1,457,0,,,1604635195,1604635195,0,1
186,0,0,active,2,458,1,False,29,1,1604634729,1,458,0,,,1604635195,1604635195,1,0
187,0,4,active,21,460,1,False,0,1,1604632467,1,460,0,,,1604635195,1604635195,0,1
188,0,0,active,17,461,1,False,39,1,1604634886,1,461,0,,,1604635195,1604635195,2,0
189,0,0,active,61,462,1,False,16,1,1604634692,1,462,0,,,1604635195,1604635195,3,0
190,0,1,active,18,464,1,False,34,1,1604628857,1,464,0,,,1604635195,1604635195,0,0
191,0,1,active,0,465,1,False,38,1,1604634444,1,465,0,,,1604635195,1604635195,4,0
192,0,1,active,3,466,1,False,23,1,1604634933,1,466,8,,,1604635195,1604635195,1,0
193,2,0,active,25,467,1,False,9,1,1604633072,1,467,0,,,1604635195,1604635195,2,0
194,0,1,active,17,468,1,False,47,1,1604635127,1,468,0,,,1604635195,1604635195,0,5
195,0,0,active,16,469,1,False,41,1,1604634763,1,469,0,,,1604635195,1604635195,4,0
196,2,2,active,45,470,1,False,25,1,1604635019,1,470,0,,,1604635195,1604635195,1,0
197,1,0,active,20,471,1,False,11,1,1604633861,1,471,0,,,1604635195,1604635195,0,4
198,0,1,active,36,472,1,False,18,1,1604635067,1,472,0,,,1604635195,1604635195,0,3
199,0,0,active,48,473,1,False,2,1,1604634652,1,473,0,,,1604635195,1604635195,0,2
200,0,0,active,17,474,1,False,39,1,1604634866,1,474,0,,,1604635195,1604635195,0,5
201,0,4,active,39,476,1,False,22,1,1604634872,1,476,0,,,1604635195,1604635195,0,5
202,2,4,active,66,477,1,False,1,1,1604635162,1,477,0,,,1604635195,1604635195,1,0
203,0,2,active,35,478,1,False,0,1,1604633687,1,478,0,,,1604635195,1604635195,0,0
204,1,2,active,29,479,1,False,0,1,1604634137,1,479,0,,,1604635195,1604635195,0,0
205,0,2,active,23,480,1,False,4,1,1604634951,1,480,0,,,1604635195,1604635195,3,0
206,3,2,active,10,481,1,False,13,1,1604635165,1,481,0,,,1604635195,1604635195,1,0
207,2,2,active,57,482,1,False,20,1,1604635066,1,482,0,,,1604635195,1604635195,0,3
