,is_renting,last_reported,num_docks_available,num_bikes_disabled,station_id,num_bikes_available,is_installed,is_returning,station_status,eightd_has_available_keys,num_ebikes_available,legacy_id,num_docks_disabled,valet,eightd_active_station_services,starttime,timestamp,demand,supply
1193,1,1605216059,25,1,4220,0,1,1,active,False,0,4220,0,,,1605218405,1605218405,1,0
1194,1,1605215880,8,2,4222,17,1,1,active,False,2,4222,0,,,1605218405,1605218405,0,0
1195,1,1605217156,27,0,4225,6,1,1,active,False,2,4225,0,,,1605218405,1605218405,0,3
1196,1,1605214325,14,0,4227,5,1,1,active,False,1,4227,0,,,1605218405,1605218405,0,0
1197,1,1605209124,16,0,4228,3,1,1,active,False,1,4228,0,,,1605218405,1605218405,0,0
1198,1,1605211366,20,0,4229,3,1,1,active,False,0,4229,0,,,1605218405,1605218405,0,0
1199,1,1605174997,19,0,4230,0,1,1,active,False,0,4230,0,,,1605218405,1605218405,0,0
1200,1,1605217304,18,0,4245,5,1,1,active,False,1,4245,0,,,1605218405,1605218405,0,0
1201,1,1605214751,6,0,4247,15,1,1,active,False,10,4247,0,,,1605218405,1605218405,0,0
1202,1,1605218185,6,0,4249,19,1,1,active,False,1,4249,0,,,1605218405,1605218405,0,0
1203,0,86400,0,0,4250,0,0,0,out_of_service,False,0,4250,0,,,1605218405,1605218405,0,0
