,num_docks_available,is_returning,num_docks_disabled,num_bikes_available,last_reported,is_renting,eightd_has_available_keys,station_status,num_ebikes_available,legacy_id,is_installed,num_bikes_disabled,station_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
42,10,1,0,34,1605268510,1,False,active,12,254,1,3,254,,,1605268800,1605268800,0,5
43,11,1,0,28,1605268601,1,False,active,0,257,1,0,257,,,1605268800,1605268800,5,0
44,19,1,0,1,1605268587,1,False,active,0,258,1,3,258,,,1605268800,1605268800,2,0
45,6,1,0,33,1605266982,1,False,active,0,259,1,0,259,,,1605268800,1605268800,0,0
46,16,1,0,16,1605251922,1,False,active,0,260,1,1,260,,,1605268800,1605268800,0,0
47,18,1,0,23,1605265344,1,False,active,1,261,1,0,261,,,1605268800,1605268800,0,1
48,16,1,0,8,1605266656,1,False,active,1,262,1,0,262,,,1605268800,1605268800,1,0
49,6,1,0,21,1605268391,1,False,active,0,264,1,0,264,,,1605268800,1605268800,1,0
50,17,1,0,18,1605268571,1,False,active,0,265,1,0,265,,,1605268800,1605268800,1,0
51,43,1,0,25,1605268111,1,False,active,1,267,1,2,267,,,1605268800,1605268800,0,0
52,6,1,0,21,1605264455,1,False,active,1,268,1,0,268,,,1605268800,1605268800,1,0
53,22,1,0,1,1605264660,1,False,active,0,270,1,0,270,,,1605268800,1605268800,0,1
54,20,1,0,11,1605268478,1,False,active,1,274,1,0,274,,,1605268800,1605268800,1,0
55,15,1,0,4,1605263668,1,False,active,1,275,1,0,275,,,1605268800,1605268800,1,0
56,22,1,0,3,1605267315,1,False,active,0,276,1,0,276,,,1605268800,1605268800,3,0
57,11,1,0,8,1605268348,1,False,active,0,278,1,0,278,,,1605268800,1605268800,1,0
58,0,0,0,0,86400,0,False,out_of_service,0,280,0,0,280,,,1605268800,1605268800,0,0
59,34,1,0,31,1605268562,1,True,active,0,281,1,1,281,,,1605268800,1605268800,12,0
60,13,1,0,14,1605266597,1,False,active,5,282,1,0,282,,,1605268800,1605268800,0,0
61,18,1,0,33,1605267407,1,False,active,1,284,1,0,284,,,1605268800,1605268800,0,4
62,26,1,0,25,1605268789,1,True,active,5,285,1,2,285,,,1605268800,1605268800,0,4
63,6,1,0,13,1605264111,1,False,active,2,289,1,0,289,,,1605268800,1605268800,0,1
64,2,1,0,18,1605266018,1,False,active,2,291,1,0,291,,,1605268800,1605268800,0,2
65,14,1,0,40,1605268721,1,False,active,0,293,1,0,293,,,1605268800,1605268800,0,0
66,2,1,0,21,1605266442,1,False,active,0,295,1,1,295,,,1605268800,1605268800,0,4
67,36,0,0,36,1605268075,0,False,active,3,297,1,5,297,,,1605268800,1605268800,2,0
68,31,1,0,4,1605248210,1,False,active,0,298,1,0,298,,,1605268800,1605268800,0,1
69,23,1,0,35,1605264370,1,False,active,0,301,1,0,301,,,1605268800,1605268800,0,4
70,3,1,0,31,1605268300,1,False,active,9,302,1,3,302,,,1605268800,1605268800,0,2
71,10,1,0,56,1605268376,1,False,active,0,303,1,1,303,,,1605268800,1605268800,2,0
72,22,1,0,11,1605268514,1,False,active,2,304,1,0,304,,,1605268800,1605268800,8,0
73,24,1,0,8,1605268464,1,False,active,0,305,1,1,305,,,1605268800,1605268800,0,0
74,3,1,0,26,1605268773,1,False,active,0,307,1,1,307,,,1605268800,1605268800,0,1
75,1,1,0,46,1605255312,1,False,active,4,308,1,1,308,,,1605268800,1605268800,0,2
