,station_status,eightd_has_available_keys,legacy_id,station_id,is_installed,is_returning,last_reported,num_docks_disabled,num_bikes_available,is_renting,num_docks_available,num_ebikes_available,num_bikes_disabled,eightd_active_station_services,valet,starttime,timestamp,demand,supply
571,active,False,3437,3437,1,1,1604628782,0,11,1,28,5,0,,,1604631600,1604631600,1,0
572,active,False,3440,3440,1,1,1604630041,0,23,1,22,0,2,,,1604631600,1604631600,0,0
573,active,False,3443,3443,1,1,1604631494,0,1,1,37,1,2,,,1604631600,1604631600,1,0
574,active,False,3452,3452,1,1,1604630621,0,18,1,24,1,1,,,1604631600,1604631600,0,0
575,active,False,3453,3453,1,1,1604631335,0,16,1,2,3,1,,,1604631600,1604631600,0,1
576,active,False,3454,3454,1,1,1604630701,0,4,1,18,1,2,,,1604631600,1604631600,2,0
577,active,False,3456,3456,1,1,1604631169,0,9,1,13,2,0,,,1604631600,1604631600,0,1
578,active,False,3457,3457,1,0,1604559056,46,0,0,0,0,0,,,1604631600,1604631600,0,0
579,active,False,3461,3461,1,1,1604631552,0,25,1,8,2,0,,,1604631600,1604631600,0,0
580,active,False,3462,3462,1,1,1604630162,0,13,1,24,0,2,,,1604631600,1604631600,1,0
581,active,False,3463,3463,1,1,1604631316,0,33,1,2,0,2,,,1604631600,1604631600,0,2
582,active,False,3467,3467,1,0,1604625432,0,44,0,0,1,0,,,1604631600,1604631600,0,0
583,active,False,3469,3469,1,1,1604630491,0,16,1,7,1,0,,,1604631600,1604631600,3,0
584,active,False,3472,3472,1,1,1604630112,0,37,1,1,0,1,,,1604631600,1604631600,0,0
585,active,False,3477,3477,1,1,1604627204,0,28,1,3,1,2,,,1604631600,1604631600,0,0
586,active,False,3478,3478,1,1,1604629773,0,30,1,12,0,1,,,1604631600,1604631600,0,0
587,active,False,3481,3481,1,1,1604617254,0,22,1,0,0,0,,,1604631600,1604631600,0,1
588,active,False,3483,3483,1,1,1604620853,0,11,1,3,0,0,,,1604631600,1604631600,0,0
589,active,False,3486,3486,1,1,1604630579,0,17,1,13,0,0,,,1604631600,1604631600,3,0
590,active,False,3490,3490,1,1,1604631591,0,18,1,13,6,0,,,1604631600,1604631600,3,0
591,active,False,3491,3491,1,1,1604631163,0,22,1,2,0,0,,,1604631600,1604631600,1,0
592,active,False,3492,3492,1,1,1604631482,0,22,1,4,0,1,,,1604631600,1604631600,0,0
593,active,False,3493,3493,1,1,1604630420,0,31,1,0,4,0,,,1604631600,1604631600,0,1
594,active,False,3494,3494,1,1,1604628862,0,19,1,6,0,0,,,1604631600,1604631600,0,0
595,active,False,3495,3495,1,1,1604627900,0,24,1,1,0,1,,,1604631600,1604631600,0,0
596,active,False,3496,3496,1,1,1604629979,0,21,1,3,4,1,,,1604631600,1604631600,2,0
597,active,False,3497,3497,1,1,1604630221,0,20,1,0,6,3,,,1604631600,1604631600,0,8
598,active,False,3498,3498,1,1,1604630687,0,21,1,0,4,0,,,1604631600,1604631600,0,2
599,active,False,3499,3499,1,1,1604630417,0,20,1,4,0,1,,,1604631600,1604631600,1,0
600,active,False,3500,3500,1,1,1604630345,0,17,1,14,2,0,,,1604631600,1604631600,1,0
601,active,False,3501,3501,1,1,1604627489,0,29,1,0,1,0,,,1604631600,1604631600,0,1
602,active,False,3502,3502,1,1,1604630336,0,15,1,13,3,1,,,1604631600,1604631600,3,0
603,active,False,3503,3503,1,1,1604630795,0,25,1,4,0,1,,,1604631600,1604631600,0,0
604,active,True,3504,3504,1,1,1604628373,0,20,1,7,0,0,,,1604631600,1604631600,0,2
605,active,False,3505,3505,1,1,1604626647,0,5,1,23,0,5,,,1604631600,1604631600,0,0
606,active,False,3506,3506,1,1,1604631366,0,20,1,8,1,1,,,1604631600,1604631600,0,1
607,active,False,3507,3507,1,1,1604631590,0,28,1,7,0,1,,,1604631600,1604631600,0,0
608,active,False,3508,3508,1,1,1604631279,0,29,1,1,2,1,,,1604631600,1604631600,0,0
609,active,False,3509,3509,1,1,1604629415,0,19,1,11,3,1,,,1604631600,1604631600,3,0
610,active,False,3510,3510,1,1,1604631215,0,25,1,6,0,0,,,1604631600,1604631600,1,0
611,active,False,3511,3511,1,1,1604631511,0,18,1,1,0,3,,,1604631600,1604631600,1,0
612,active,False,3513,3513,1,1,1604629472,0,4,1,17,1,0,,,1604631600,1604631600,3,0
613,active,False,3514,3514,1,1,1604631078,0,6,1,17,0,0,,,1604631600,1604631600,0,0
614,out_of_service,False,3515,3515,0,0,1601651096,0,0,0,7,0,0,,,1604631600,1604631600,0,0
615,active,False,3516,3516,1,1,1604624776,0,15,1,16,0,0,,,1604631600,1604631600,0,3
616,active,False,3517,3517,1,1,1604627722,0,28,1,6,0,1,,,1604631600,1604631600,0,0
617,active,True,3518,3518,1,1,1604630620,0,21,1,12,0,1,,,1604631600,1604631600,0,1
618,active,False,3520,3520,1,1,1604631468,0,22,1,4,0,1,,,1604631600,1604631600,1,0
619,active,False,3521,3521,1,1,1604631597,0,30,1,4,0,2,,,1604631600,1604631600,4,0
620,active,False,3522,3522,1,1,1604626567,0,5,1,14,1,0,,,1604631600,1604631600,2,0
621,active,False,3523,3523,1,1,1604631020,0,17,1,8,4,0,,,1604631600,1604631600,1,0
622,active,False,3524,3524,1,0,1604629400,0,12,0,10,6,1,,,1604631600,1604631600,1,0
623,active,False,3525,3525,1,1,1604630666,0,9,1,12,1,0,,,1604631600,1604631600,0,0
624,active,False,3526,3526,1,1,1604630609,0,2,1,23,1,2,,,1604631600,1604631600,0,0
625,active,False,3527,3527,1,1,1604628763,0,17,1,10,0,0,,,1604631600,1604631600,0,0
626,active,False,3528,3528,1,1,1604629689,0,13,1,7,5,1,,,1604631600,1604631600,0,0
627,active,False,3529,3529,1,1,1604630950,0,19,1,5,0,1,,,1604631600,1604631600,0,2
628,active,False,3530,3530,1,1,1604630724,0,3,1,16,1,0,,,1604631600,1604631600,0,0
629,active,False,3531,3531,1,1,1604631595,0,18,1,8,2,1,,,1604631600,1604631600,0,2
630,active,False,3532,3532,1,1,1604629898,0,7,1,20,2,0,,,1604631600,1604631600,0,0
631,active,False,3533,3533,1,1,1604629592,0,25,1,8,3,1,,,1604631600,1604631600,3,0
632,active,False,3534,3534,1,1,1604631314,0,34,1,3,7,2,,,1604631600,1604631600,2,0
633,active,False,3535,3535,1,1,1604631205,0,23,1,3,0,1,,,1604631600,1604631600,0,0
634,active,False,3536,3536,1,1,1604626689,0,0,1,43,0,0,,,1604631600,1604631600,0,0
635,active,False,3537,3537,1,1,1604629823,0,5,1,24,0,0,,,1604631600,1604631600,0,0
636,active,False,3538,3538,1,1,1604631164,0,6,1,36,2,3,,,1604631600,1604631600,0,4
637,active,False,3539,3539,1,1,1604628780,0,3,1,40,3,0,,,1604631600,1604631600,0,3
638,active,False,3540,3540,1,1,1604630724,0,32,1,3,0,0,,,1604631600,1604631600,0,2
639,active,False,3541,3541,1,1,1604628816,0,38,1,0,0,1,,,1604631600,1604631600,0,1
640,active,False,3542,3542,1,1,1604629683,0,2,1,27,1,0,,,1604631600,1604631600,1,0
641,active,False,3543,3543,1,1,1604623066,0,6,1,29,0,0,,,1604631600,1604631600,0,0
642,active,False,3544,3544,1,1,1604630763,0,11,1,14,0,2,,,1604631600,1604631600,1,0
643,active,False,3545,3545,1,1,1604630695,0,27,1,6,1,0,,,1604631600,1604631600,0,1
644,active,False,3546,3546,1,1,1604629180,0,1,1,19,0,1,,,1604631600,1604631600,1,0
645,active,False,3547,3547,1,1,1604630395,0,39,1,2,0,0,,,1604631600,1604631600,0,0
646,active,False,3549,3549,1,1,1604628696,0,6,1,18,2,1,,,1604631600,1604631600,0,0
647,active,False,3551,3551,1,1,1604631305,0,4,1,19,1,0,,,1604631600,1604631600,3,0
648,active,False,3552,3552,1,1,1604631576,0,3,1,36,1,0,,,1604631600,1604631600,1,0
649,active,False,3553,3553,1,1,1604630950,0,22,1,14,4,1,,,1604631600,1604631600,0,2
650,active,False,3554,3554,1,1,1604629435,0,7,1,17,0,3,,,1604631600,1604631600,0,0
651,active,False,3555,3555,1,1,1604629729,0,5,1,22,2,0,,,1604631600,1604631600,1,0
