,num_docks_available,num_bikes_disabled,is_returning,last_reported,station_status,is_renting,num_ebikes_available,legacy_id,num_docks_disabled,is_installed,num_bikes_available,station_id,eightd_has_available_keys,eightd_active_station_services,valet,starttime,timestamp,demand,supply
464,3,0,1,1604685196,active,1,0,3311,0,1,18,3311,False,,,1604685595,1604685595,0.0,6.0
465,12,0,1,1604685302,active,1,1,3312,0,1,27,3312,False,,,1604685595,1604685595,0.0,1.0
466,25,1,1,1604685574,active,1,0,3313,0,1,3,3313,False,,,1604685595,1604685595,0.0,1.0
467,29,0,1,1604685570,active,1,2,3314,0,1,3,3314,False,,,1604685595,1604685595,0.0,0.0
468,9,1,1,1604684916,active,1,0,3315,0,1,13,3315,False,,,1604685595,1604685595,2.0,0.0
469,7,0,1,1604685438,active,1,0,3317,0,1,17,3317,False,,,1604685595,1604685595,0.0,1.0
470,14,0,1,1604684906,active,1,0,3318,0,1,25,3318,False,,,1604685595,1604685595,2.0,0.0
471,2,1,1,1604685485,active,1,1,3319,0,1,18,3319,False,,,1604685595,1604685595,0.0,1.0
472,23,0,1,1604685361,active,1,1,3321,0,1,2,3321,False,,,1604685595,1604685595,0.0,2.0
473,10,0,1,1604682731,active,1,1,3322,0,1,15,3322,False,,,1604685595,1604685595,1.0,0.0
474,54,0,1,1604685423,active,1,0,3323,0,1,4,3323,True,,,1604685595,1604685595,0.0,3.0
475,0,1,1,1604680880,active,1,1,3324,0,1,24,3324,False,,,1604685595,1604685595,0.0,1.0
476,17,0,1,1604684984,active,1,0,3325,0,1,14,3325,False,,,1604685595,1604685595,1.0,0.0
477,0,0,1,1604675032,active,1,0,3326,0,1,21,3326,False,,,1604685595,1604685595,0.0,0.0
478,6,0,1,1604684756,active,1,0,3327,0,1,21,3327,False,,,1604685595,1604685595,0.0,1.0
479,31,3,1,1604685139,active,1,1,3328,0,1,5,3328,False,,,1604685595,1604685595,0.0,2.0
480,8,0,1,1604682297,active,1,0,3329,0,1,19,3329,False,,,1604685595,1604685595,0.0,0.0
481,0,0,0,86400,out_of_service,0,0,3330,0,0,0,3330,False,,,1604685595,1604685595,0.0,0.0
482,34,1,1,1604685430,active,1,4,3331,0,1,4,3331,True,,,1604685595,1604685595,0.0,1.0
483,5,0,1,1604684509,active,1,0,3332,0,1,14,3332,False,,,1604685595,1604685595,1.0,0.0
484,0,0,1,1604682572,active,1,0,3333,0,1,21,3333,False,,,1604685595,1604685595,0.0,1.0
485,1,0,1,1604685533,active,1,2,3335,0,1,27,3335,False,,,1604685595,1604685595,0.0,0.0
486,27,0,1,1604685580,active,1,6,3336,0,1,14,3336,False,,,1604685595,1604685595,4.0,0.0
487,2,0,1,1604685555,active,1,1,3337,0,1,21,3337,False,,,1604685595,1604685595,1.0,0.0
488,7,0,1,1604685407,active,1,0,3338,0,1,24,3338,False,,,1604685595,1604685595,3.0,0.0
489,14,1,1,1604685418,active,1,0,3339,0,1,8,3339,False,,,1604685595,1604685595,0.0,1.0
490,1,0,1,1604676372,active,1,0,3340,0,1,20,3340,False,,,1604685595,1604685595,1.0,0.0
491,1,0,1,1604685095,active,1,2,3342,0,1,22,3342,False,,,1604685595,1604685595,0.0,0.0
492,22,1,1,1604684907,active,1,0,3343,0,1,0,3343,False,,,1604685595,1604685595,1.0,0.0
493,6,0,1,1604684603,active,1,1,3344,0,1,13,3344,False,,,1604685595,1604685595,2.0,0.0
494,6,0,1,1604685523,active,1,7,3345,0,1,29,3345,False,,,1604685595,1604685595,0.0,2.0
495,19,0,1,1604685441,active,1,4,3346,0,1,10,3346,False,,,1604685595,1604685595,0.0,1.0
496,2,0,1,1604681176,active,1,0,3347,0,1,19,3347,False,,,1604685595,1604685595,2.0,0.0
497,2,0,1,1604684474,active,1,2,3348,0,1,17,3348,False,,,1604685595,1604685595,2.0,0.0
498,26,0,1,1604685524,active,1,0,3349,0,1,3,3349,False,,,1604685595,1604685595,0.0,1.0
499,38,0,1,1604685228,active,1,1,3350,0,1,1,3350,False,,,1604685595,1604685595,0.0,0.0
