,is_returning,num_docks_available,station_id,num_bikes_disabled,num_ebikes_available,legacy_id,num_docks_disabled,eightd_has_available_keys,num_bikes_available,is_renting,station_status,last_reported,is_installed,starttime,timestamp,demand,supply
227,1,26,507,0,0,507,0,False,19,1,active,1604292418,1,1604293205,1604293205,19,19
228,1,12,508,1,6,508,0,False,12,1,active,1604292076,1,1604293205,1604293205,12,12
229,1,15,509,1,3,509,0,False,45,1,active,1604293087,1,1604293205,1604293205,45,45
230,1,53,510,0,0,510,0,False,2,1,active,1604283265,1,1604293205,1604293205,2,2
231,1,21,513,1,1,513,0,False,7,1,active,1604288552,1,1604293205,1604293205,7,7
232,1,7,514,2,5,514,0,True,43,1,active,1604292553,1,1604293205,1604293205,43,43
233,0,0,515,2,5,515,0,False,77,0,active,1604286181,1,1604293205,1604293205,77,77
234,1,14,516,1,1,516,0,False,16,1,active,1604287647,1,1604293205,1604293205,16,16
235,1,28,517,0,0,517,0,False,41,1,active,1604290182,1,1604293205,1604293205,41,41
236,1,40,519,0,0,519,0,False,29,1,active,1604292234,1,1604293205,1604293205,29,29
237,1,10,522,1,0,522,0,False,40,1,active,1604291885,1,1604293205,1604293205,40,40
238,1,31,525,0,1,525,0,False,25,1,active,1604288160,1,1604293205,1604293205,25,25
239,1,33,526,0,1,526,0,False,7,1,active,1604291995,1,1604293205,1604293205,7,7
240,1,12,528,3,3,528,0,False,24,1,active,1604292071,1,1604293205,1604293205,24,24
241,1,3,529,1,0,529,0,False,37,1,active,1604291859,1,1604293205,1604293205,37,37
242,1,1,530,3,3,530,0,False,20,1,active,1604287800,1,1604293205,1604293205,20,20
243,1,13,531,0,0,531,0,False,26,1,active,1604292973,1,1604293205,1604293205,26,26
244,1,0,532,0,4,532,0,False,43,1,active,1604279841,1,1604293205,1604293205,43,43
245,1,43,533,0,0,533,0,False,3,1,active,1604291769,1,1604293205,1604293205,3,3
246,1,0,534,2,4,534,0,False,29,1,active,1604278458,1,1604293205,1604293205,29,29
247,1,14,536,1,1,536,0,False,13,1,active,1604293098,1,1604293205,1604293205,13,13
248,1,6,539,0,1,539,0,False,25,1,active,1604288637,1,1604293205,1604293205,25,25
249,1,39,540,1,0,540,1,False,13,1,active,1604292679,1,1604293205,1604293205,13,13
250,1,4,545,0,2,545,0,False,23,1,active,1604292955,1,1604293205,1604293205,23,23
251,1,31,546,0,1,546,0,False,14,1,active,1604290164,1,1604293205,1604293205,14,14
252,1,15,2000,2,0,2000,0,False,40,1,active,1604293131,1,1604293205,1604293205,40,40
253,1,3,2002,1,0,2002,0,False,23,1,active,1604287282,1,1604293205,1604293205,23,23
254,1,32,2003,0,0,2003,0,False,22,1,active,1604292927,1,1604293205,1604293205,22,22
255,1,4,2005,0,0,2005,0,False,8,1,active,1604263779,1,1604293205,1604293205,8,8
256,1,33,2006,0,2,2006,0,True,16,1,active,1604287919,1,1604293205,1604293205,16,16
257,1,4,2008,1,1,2008,0,True,19,1,active,1604292842,1,1604293205,1604293205,19,19
258,1,3,2009,2,2,2009,0,False,30,1,active,1604292997,1,1604293205,1604293205,30,30
259,1,54,2010,2,0,2010,0,False,9,1,active,1604291537,1,1604293205,1604293205,9,9
260,1,24,2012,1,2,2012,0,False,10,1,active,1604292726,1,1604293205,1604293205,10,10
261,1,33,2017,1,0,2017,0,False,5,1,active,1604287824,1,1604293205,1604293205,5,5
262,1,51,2021,1,4,2021,0,False,13,1,active,1604292615,1,1604293205,1604293205,13,13
263,1,26,2022,0,5,2022,0,False,7,1,active,1604291656,1,1604293205,1604293205,7,7
264,1,22,3016,0,1,3016,0,False,32,1,active,1604290853,1,1604293205,1604293205,32,32
265,1,15,3041,2,0,3041,0,False,7,1,active,1604292933,1,1604293205,1604293205,7,7
266,1,6,3042,1,6,3042,0,False,12,1,active,1604292666,1,1604293205,1604293205,12,12
267,1,3,3043,0,1,3043,0,False,16,1,active,1604284314,1,1604293205,1604293205,16,16
268,1,9,3044,0,5,3044,0,False,18,1,active,1604286489,1,1604293205,1604293205,18,18
269,1,13,3046,0,2,3046,0,False,6,1,active,1604290000,1,1604293205,1604293205,6,6
270,1,6,3047,0,1,3047,0,False,15,1,active,1604287745,1,1604293205,1604293205,15,15
271,1,6,3048,1,4,3048,0,False,12,1,active,1604292661,1,1604293205,1604293205,12,12
272,1,4,3049,1,5,3049,0,False,13,1,active,1604286033,1,1604293205,1604293205,13,13
273,1,13,3050,1,5,3050,0,False,7,1,active,1604292855,1,1604293205,1604293205,7,7
274,1,9,3052,1,9,3052,0,False,13,1,active,1604293083,1,1604293205,1604293205,13,13
275,1,11,3053,1,7,3053,0,False,11,1,active,1604292190,1,1604293205,1604293205,11,11
276,1,9,3054,0,4,3054,0,False,10,1,active,1604292191,1,1604293205,1604293205,10,10
277,1,17,3055,0,0,3055,0,False,6,1,active,1604281542,1,1604293205,1604293205,6,6
278,1,11,3056,1,0,3056,0,False,11,1,active,1604288053,1,1604293205,1604293205,11,11
279,1,8,3057,0,4,3057,0,False,10,1,active,1604285195,1,1604293205,1604293205,10,10
280,1,12,3058,0,2,3058,0,False,12,1,active,1604289835,1,1604293205,1604293205,12,12
281,1,15,3059,0,3,3059,0,False,4,1,active,1604288014,1,1604293205,1604293205,4,4
282,1,15,3060,0,2,3060,0,False,4,1,active,1604280427,1,1604293205,1604293205,4,4
283,1,16,3061,0,1,3061,0,False,5,1,active,1604292448,1,1604293205,1604293205,5,5
284,1,19,3062,0,2,3062,0,False,4,1,active,1604290428,1,1604293205,1604293205,4,4
285,1,7,3063,1,2,3063,0,False,12,1,active,1604287516,1,1604293205,1604293205,12,12
286,1,18,3064,0,3,3064,0,False,5,1,active,1604292951,1,1604293205,1604293205,5,5
287,1,31,3065,0,0,3065,0,False,0,1,active,1604291876,1,1604293205,1604293205,0,0
288,1,11,3066,0,0,3066,0,False,8,1,active,1604288339,1,1604293205,1604293205,8,8
289,1,14,3067,0,2,3067,0,False,13,1,active,1604293001,1,1604293205,1604293205,13,13
290,1,17,3068,1,4,3068,0,False,24,1,active,1604293184,1,1604293205,1604293205,24,24
291,1,29,3069,0,0,3069,0,False,0,1,active,1604271395,1,1604293205,1604293205,0,0
292,1,14,3070,0,1,3070,0,False,9,1,active,1604291783,1,1604293205,1604293205,9,9
293,1,18,3071,0,1,3071,0,False,1,1,active,1604288235,1,1604293205,1604293205,1,1
294,1,16,3072,2,3,3072,0,False,6,1,active,1604292085,1,1604293205,1604293205,6,6
295,1,15,3074,3,2,3074,0,False,24,1,active,1604289991,1,1604293205,1604293205,24,24
296,1,25,3075,0,0,3075,0,False,8,1,active,1604280544,1,1604293205,1604293205,8,8
297,1,24,3076,0,1,3076,0,False,12,1,active,1604291763,1,1604293205,1604293205,12,12
298,1,21,3077,0,6,3077,0,False,12,1,active,1604293171,1,1604293205,1604293205,12,12
299,1,24,3078,0,0,3078,0,False,3,1,active,1604292390,1,1604293205,1604293205,3,3
300,1,6,3080,1,0,3080,0,False,14,1,active,1604286807,1,1604293205,1604293205,14,14
301,1,24,3081,0,3,3081,0,False,5,1,active,1604290959,1,1604293205,1604293205,5,5
302,1,17,3082,0,0,3082,0,False,8,1,active,1604290318,1,1604293205,1604293205,8,8
303,1,26,3083,1,1,3083,0,False,5,1,active,1604292490,1,1604293205,1604293205,5,5
