,num_bikes_available,is_renting,station_id,legacy_id,num_bikes_disabled,num_docks_available,eightd_has_available_keys,station_status,is_installed,num_ebikes_available,is_returning,num_docks_disabled,last_reported,eightd_active_station_services,valet,starttime,timestamp,demand,supply
198,13,1,472,472,2,40,False,active,1,3,1,0,1605264597,,,1605265190,1605265190,0,2
199,50,1,473,473,1,13,False,active,1,1,1,0,1605249416,,,1605265190,1605265190,0,2
200,25,1,474,474,2,29,False,active,1,1,1,0,1605254262,,,1605265190,1605265190,0,2
201,54,1,476,476,2,9,False,active,1,2,1,0,1605263249,,,1605265190,1605265190,0,2
202,38,1,477,477,3,29,False,active,1,1,1,1,1605265130,,,1605265190,1605265190,0,28
203,26,1,478,478,3,8,False,active,1,3,1,0,1605264898,,,1605265190,1605265190,5,0
204,13,1,479,479,0,18,False,active,1,0,1,0,1605264707,,,1605265190,1605265190,0,3
205,12,1,480,480,1,16,False,active,1,4,1,0,1605265041,,,1605265190,1605265190,0,1
206,16,1,481,481,0,9,False,active,1,5,1,0,1605253818,,,1605265190,1605265190,0,1
207,76,1,482,482,1,1,False,active,1,0,1,0,1605263844,,,1605265190,1605265190,0,4
208,11,1,483,483,1,22,False,active,1,2,1,0,1605261915,,,1605265190,1605265190,0,3
209,8,1,484,484,2,36,False,active,1,1,1,0,1605265127,,,1605265190,1605265190,5,0
210,1,0,485,485,0,39,False,active,1,0,0,0,1605249787,,,1605265190,1605265190,0,0
211,3,1,486,486,1,37,False,active,1,1,1,0,1605265105,,,1605265190,1605265190,2,0
212,30,1,487,487,1,4,False,active,1,4,1,0,1605265074,,,1605265190,1605265190,0,3
213,31,1,489,489,2,16,False,active,1,0,1,0,1605250622,,,1605265190,1605265190,0,1
214,44,1,490,490,3,19,False,active,1,0,1,0,1605265050,,,1605265190,1605265190,0,21
215,40,1,492,492,1,26,False,active,1,7,1,1,1605265130,,,1605265190,1605265190,0,27
216,10,1,493,493,1,23,False,active,1,0,1,0,1605257480,,,1605265190,1605265190,3,0
217,52,1,494,494,0,14,False,active,1,4,1,0,1605265141,,,1605265190,1605265190,0,0
218,34,1,495,495,1,4,False,active,1,2,1,0,1605264871,,,1605265190,1605265190,1,0
219,42,1,496,496,1,22,False,active,1,2,1,0,1605264970,,,1605265190,1605265190,2,0
220,20,1,497,497,1,45,False,active,1,2,1,0,1605264706,,,1605265190,1605265190,3,0
221,21,1,499,499,0,15,True,active,1,1,1,0,1605265137,,,1605265190,1605265190,2,0
222,26,1,500,500,0,26,False,active,1,0,1,0,1605263442,,,1605265190,1605265190,3,0
223,33,1,501,501,2,48,False,active,1,2,1,0,1605264920,,,1605265190,1605265190,2,0
224,32,1,502,502,1,3,False,active,1,9,1,0,1605264685,,,1605265190,1605265190,0,2
225,17,1,503,503,1,13,False,active,1,1,1,0,1605264269,,,1605265190,1605265190,0,1
226,34,1,504,504,0,20,False,active,1,4,1,0,1605264847,,,1605265190,1605265190,0,0
227,38,1,505,505,0,14,False,active,1,0,1,0,1605264685,,,1605265190,1605265190,0,4
228,30,1,507,507,1,14,False,active,1,3,1,0,1605263225,,,1605265190,1605265190,0,2
229,9,1,508,508,0,16,False,active,1,3,1,0,1605264293,,,1605265190,1605265190,1,0
230,58,1,509,509,2,1,False,active,1,2,1,0,1605262787,,,1605265190,1605265190,0,4
231,25,0,510,510,6,24,False,active,1,0,0,0,1605245717,,,1605265190,1605265190,0,0
232,10,1,513,513,0,19,False,active,1,3,1,0,1605256654,,,1605265190,1605265190,1,0
233,44,1,514,514,2,6,True,active,1,5,1,0,1605261019,,,1605265190,1605265190,0,0
234,44,1,515,515,1,34,False,active,1,4,1,0,1605265061,,,1605265190,1605265190,0,4
235,16,1,516,516,3,12,False,active,1,0,1,0,1605252268,,,1605265190,1605265190,0,0
236,7,1,517,517,3,59,False,active,1,1,1,0,1605264831,,,1605265190,1605265190,0,2
237,36,1,519,519,0,33,False,active,1,2,1,0,1605264811,,,1605265190,1605265190,3,0
238,30,1,522,522,0,21,False,active,1,2,1,0,1605264850,,,1605265190,1605265190,2,0
239,16,1,525,525,0,40,False,active,1,0,1,0,1605250621,,,1605265190,1605265190,4,0
240,0,1,526,526,1,39,False,active,1,0,1,0,1605263985,,,1605265190,1605265190,0,0
241,35,1,528,528,3,1,False,active,1,1,1,0,1605265133,,,1605265190,1605265190,0,2
242,32,1,529,529,2,7,False,active,1,14,1,0,1605265180,,,1605265190,1605265190,0,17
243,23,1,530,530,0,1,False,active,1,3,1,0,1605254364,,,1605265190,1605265190,0,1
244,59,1,531,531,0,1,False,active,1,2,1,0,1605263833,,,1605265190,1605265190,0,0
245,27,1,532,532,2,14,False,active,1,3,1,0,1605248209,,,1605265190,1605265190,0,0
246,9,1,533,533,1,36,False,active,1,0,1,0,1605250622,,,1605265190,1605265190,2,0
247,27,1,534,534,2,2,False,active,1,1,1,0,1605263138,,,1605265190,1605265190,0,0
248,12,1,536,536,0,16,False,active,1,2,1,0,1605265079,,,1605265190,1605265190,7,0
249,21,1,539,539,1,9,False,active,1,0,1,0,1605256922,,,1605265190,1605265190,1,0
250,26,1,540,540,0,28,False,active,1,3,1,0,1605264462,,,1605265190,1605265190,0,1
251,23,1,545,545,0,4,False,active,1,0,1,0,1605264542,,,1605265190,1605265190,0,4
252,14,1,546,546,1,30,False,active,1,0,1,0,1605265114,,,1605265190,1605265190,0,1
253,33,1,2000,2000,0,24,False,active,1,2,1,0,1605262516,,,1605265190,1605265190,2,0
254,19,1,2002,2002,3,5,False,active,1,3,1,0,1605256128,,,1605265190,1605265190,1,0
255,24,1,2003,2003,2,28,False,active,1,2,1,0,1605265020,,,1605265190,1605265190,0,3
256,10,1,2005,2005,0,2,False,active,1,0,1,0,1605250623,,,1605265190,1605265190,0,0
257,36,1,2006,2006,0,11,True,active,1,3,1,2,1605262800,,,1605265190,1605265190,2,0
258,19,1,2008,2008,1,4,True,active,1,6,1,0,1605265127,,,1605265190,1605265190,0,1
