,station_status,station_id,is_renting,is_returning,num_docks_disabled,num_bikes_available,num_ebikes_available,num_bikes_disabled,eightd_has_available_keys,legacy_id,last_reported,num_docks_available,is_installed,eightd_active_station_services,valet,starttime,timestamp,demand,supply
76,active,309,1,1,0,22,0,1,False,309,1605236099,18,1,,,1605236395,1605236395,1,0
77,active,310,1,1,0,57,0,1,False,310,1605235643,8,1,,,1605236395,1605236395,2,0
78,active,311,1,1,0,14,1,3,False,311,1605236296,14,1,,,1605236395,1605236395,2,0
79,active,312,1,1,0,31,1,1,False,312,1605236249,1,1,,,1605236395,1605236395,0,1
80,active,313,1,1,0,45,0,0,False,313,1605230684,10,1,,,1605236395,1605236395,0,1
81,active,315,1,1,0,19,0,3,False,315,1605233971,7,1,,,1605236395,1605236395,0,0
82,active,316,0,0,0,37,8,0,False,316,1605233545,6,1,,,1605236395,1605236395,1,0
83,active,317,1,1,0,36,12,0,False,317,1605236074,18,1,,,1605236395,1605236395,0,5
84,active,319,1,1,0,10,0,0,False,319,1605235152,23,1,,,1605236395,1605236395,3,0
85,active,320,1,1,0,31,4,0,False,320,1605235628,8,1,,,1605236395,1605236395,0,2
86,active,321,1,1,0,27,0,1,False,321,1605234146,11,1,,,1605236395,1605236395,0,0
87,active,323,1,1,0,33,0,0,False,323,1605235138,6,1,,,1605236395,1605236395,1,0
88,active,324,1,1,0,69,0,0,False,324,1605235675,5,1,,,1605236395,1605236395,1,0
89,active,325,0,0,0,33,5,2,False,325,1605225278,0,1,,,1605236395,1605236395,0,0
90,active,326,1,1,0,24,7,2,False,326,1605235514,15,1,,,1605236395,1605236395,0,1
91,active,327,1,1,0,20,0,4,True,327,1605235896,15,1,,,1605236395,1605236395,0,0
92,active,328,1,1,0,31,1,3,False,328,1605235666,1,1,,,1605236395,1605236395,0,2
93,active,330,1,1,0,21,0,1,False,330,1605233155,17,1,,,1605236395,1605236395,0,2
94,active,331,1,1,0,23,3,1,False,331,1605236341,3,1,,,1605236395,1605236395,0,3
95,active,332,1,1,0,22,3,1,False,332,1605233498,13,1,,,1605236395,1605236395,0,0
96,active,334,1,1,0,25,1,0,False,334,1605234758,6,1,,,1605236395,1605236395,0,3
97,active,335,1,1,0,14,0,0,False,335,1605233477,13,1,,,1605236395,1605236395,0,2
98,active,336,1,1,0,31,6,0,False,336,1605235864,5,1,,,1605236395,1605236395,0,0
99,active,340,1,1,0,26,1,1,False,340,1605236260,0,1,,,1605236395,1605236395,0,2
100,active,341,0,0,0,16,0,0,False,341,1605202828,3,1,,,1605236395,1605236395,0,0
101,active,342,1,1,1,23,1,2,False,342,1605236381,3,1,,,1605236395,1605236395,1,0
102,active,343,1,1,0,18,0,0,False,343,1605231774,5,1,,,1605236395,1605236395,0,0
103,active,344,1,1,0,1,0,4,False,344,1605235581,18,1,,,1605236395,1605236395,1,0
104,active,346,1,1,0,14,1,2,False,346,1605236240,11,1,,,1605236395,1605236395,1,0
105,active,347,1,1,0,49,11,0,False,347,1605236258,5,1,,,1605236395,1605236395,1,0
106,active,349,1,1,0,36,0,1,False,349,1605235929,24,1,,,1605236395,1605236395,4,0
107,active,350,1,1,1,35,1,3,False,350,1605236129,8,1,,,1605236395,1605236395,0,1
108,active,351,1,1,0,38,0,1,False,351,1605231239,0,1,,,1605236395,1605236395,0,1
109,active,353,1,1,0,4,2,1,False,353,1605235404,22,1,,,1605236395,1605236395,0,0
110,active,354,1,1,0,4,1,0,False,354,1605231108,43,1,,,1605236395,1605236395,1,0
111,active,355,1,1,0,28,0,2,False,355,1605235906,13,1,,,1605236395,1605236395,1,0
112,active,356,1,1,0,15,0,1,False,356,1605235819,7,1,,,1605236395,1605236395,2,0
113,active,358,1,1,0,50,14,0,False,358,1605235568,0,1,,,1605236395,1605236395,0,2
114,active,359,1,1,0,4,0,3,False,359,1605234567,71,1,,,1605236395,1605236395,0,2
115,active,360,1,1,0,11,1,2,False,360,1605236325,26,1,,,1605236395,1605236395,3,0
116,active,361,1,1,0,74,7,0,False,361,1605236272,5,1,,,1605236395,1605236395,2,0
117,active,362,1,1,0,36,1,1,False,362,1605234736,20,1,,,1605236395,1605236395,0,1
118,out_of_service,363,0,0,0,0,0,0,False,363,1604843856,3,0,,,1605236395,1605236395,0,0
119,active,364,1,1,0,3,1,0,False,364,1605236132,24,1,,,1605236395,1605236395,0,0
120,active,366,1,1,0,11,1,1,False,366,1605236369,21,1,,,1605236395,1605236395,0,1
121,active,367,1,1,0,8,0,2,False,367,1605235423,33,1,,,1605236395,1605236395,0,0
