,legacy_id,num_ebikes_available,station_status,eightd_has_available_keys,num_docks_available,num_bikes_available,num_bikes_disabled,is_renting,last_reported,is_installed,num_docks_disabled,is_returning,station_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
162,422,1,active,False,36,39,3,1,1604980179,1,0,1,422,,,1604980805,1604980805,0,1
163,423,0,active,False,19,6,2,1,1604980242,1,0,1,423,,,1604980805,1604980805,4,0
164,426,0,active,True,0,1,5,1,1604980257,1,30,1,426,"{'off_dock_count': 36, 'dock_blocked_count': 30, 'off_dock_capacity': 60, 'active': True, 'station_id': '66dc0e99-0aca-11e7-82f6-3863bb44ef7c', 'region': 'BKN', 'valet_revision': 1601}",[{'id': '66dc0e99-0aca-11e7-82f6-3863bb44ef7c'}],1604980805,1604980805,0,0
165,427,0,active,False,16,30,1,1,1604978029,1,0,1,427,,,1604980805,1604980805,0,0
166,432,2,active,False,3,28,0,1,1604980425,1,0,1,432,,,1604980805,1604980805,1,0
167,434,2,active,False,8,51,1,1,1604980481,1,0,1,434,,,1604980805,1604980805,1,0
168,435,0,active,False,30,14,6,1,1604980732,1,0,1,435,,,1604980805,1604980805,1,0
169,436,0,active,False,19,4,1,1,1604978748,1,3,1,436,,,1604980805,1604980805,2,0
170,437,0,active,False,24,0,0,1,1604979427,1,0,1,437,,,1604980805,1604980805,1,0
171,438,0,active,False,11,36,0,1,1604980678,1,0,1,438,,,1604980805,1604980805,3,0
172,439,0,active,False,0,42,1,1,1604979072,1,0,1,439,,,1604980805,1604980805,0,0
173,440,1,active,False,30,1,1,1,1604978610,1,0,1,440,,,1604980805,1604980805,0,1
174,442,1,active,False,47,3,1,1,1604979547,1,0,1,442,,,1604980805,1604980805,2,0
175,443,4,active,False,10,13,0,1,1604979743,1,0,1,443,,,1604980805,1604980805,0,3
176,445,10,active,False,3,75,2,1,1604980222,1,0,1,445,,,1604980805,1604980805,1,0
177,446,1,active,False,47,28,4,1,1604980006,1,0,1,446,,,1604980805,1604980805,0,1
178,447,2,active,False,18,7,5,1,1604980308,1,1,1,447,,,1604980805,1604980805,1,0
179,448,2,active,False,7,19,1,1,1604979588,1,0,1,448,,,1604980805,1604980805,0,1
180,450,1,active,False,36,28,3,1,1604979788,1,0,1,450,,,1604980805,1604980805,3,0
181,453,0,active,False,2,62,2,1,1604980690,1,0,1,453,,,1604980805,1604980805,1,0
