,num_ebikes_available,is_installed,num_bikes_disabled,num_docks_available,legacy_id,is_renting,station_status,num_bikes_available,eightd_has_available_keys,last_reported,is_returning,num_docks_disabled,station_id,eightd_active_station_services,valet,starttime,timestamp,demand,supply
37,0,1,2,3,248,1,active,94,False,1604815171,1,0,248,,,1604815195,1604815195,1,0
38,0,1,0,3,249,1,active,24,False,1604811997,1,0,249,,,1604815195,1604815195,0,1
39,0,1,4,5,250,1,active,31,False,1604813974,1,0,250,,,1604815195,1604815195,2,0
40,2,1,6,4,251,1,active,17,False,1604814889,1,0,251,,,1604815195,1604815195,3,0
41,1,1,12,18,252,1,active,3,False,1604815000,1,0,252,,,1604815195,1604815195,5,0
42,0,1,2,18,254,1,active,27,False,1604814881,1,0,254,,,1604815195,1604815195,0,1
43,1,1,1,1,257,1,active,37,False,1604814468,1,0,257,,,1604815195,1604815195,0,0
44,0,1,1,20,258,1,active,2,False,1604814384,1,0,258,,,1604815195,1604815195,0,0
45,0,1,1,24,259,1,active,14,False,1604814710,1,0,259,,,1604815195,1604815195,0,0
46,0,1,1,30,260,1,active,2,False,1604814435,1,0,260,,,1604815195,1604815195,0,0
47,0,1,2,28,261,1,active,11,False,1604813397,1,0,261,,,1604815195,1604815195,5,0
48,0,1,3,9,262,1,active,12,False,1604814518,1,0,262,,,1604815195,1604815195,2,0
49,0,1,0,6,264,1,active,21,False,1604815105,1,0,264,,,1604815195,1604815195,4,0
50,0,1,0,0,265,1,active,35,False,1604809502,1,0,265,,,1604815195,1604815195,0,0
51,11,1,0,1,267,0,active,69,False,1604800548,0,0,267,,,1604815195,1604815195,0,0
52,1,1,3,0,268,1,active,24,False,1604815190,1,0,268,,,1604815195,1604815195,0,2
53,0,1,2,5,270,1,active,16,False,1604813334,1,0,270,,,1604815195,1604815195,0,1
54,0,1,2,22,274,1,active,7,False,1604814695,1,0,274,,,1604815195,1604815195,0,1
55,1,1,0,8,275,1,active,11,False,1604814786,1,0,275,,,1604815195,1604815195,0,0
56,0,1,3,1,276,1,active,21,False,1604813779,1,0,276,,,1604815195,1604815195,0,0
57,5,1,0,4,278,1,active,15,False,1604814847,1,0,278,,,1604815195,1604815195,0,0
58,0,0,0,0,280,0,out_of_service,0,False,86400,0,0,280,,,1604815195,1604815195,0,0
59,0,1,5,59,281,1,active,2,True,1604812876,1,0,281,,,1604815195,1604815195,0,0
60,0,1,2,11,282,1,active,14,False,1604813171,1,0,282,,,1604815195,1604815195,5,0
61,0,1,1,13,284,1,active,37,False,1604814361,1,0,284,,,1604815195,1604815195,0,4
62,0,1,1,9,285,1,active,43,True,1604814885,1,0,285,,,1604815195,1604815195,0,2
63,2,1,0,11,289,1,active,8,False,1604815023,1,0,289,,,1604815195,1604815195,0,3
64,2,1,0,11,291,1,active,9,False,1604814277,1,0,291,,,1604815195,1604815195,4,0
65,0,1,2,14,293,1,active,38,False,1604814759,1,0,293,,,1604815195,1604815195,0,2
66,1,1,0,1,295,1,active,23,False,1604815003,1,0,295,,,1604815195,1604815195,1,0
67,1,1,2,29,297,1,active,46,False,1604814579,1,0,297,,,1604815195,1604815195,0,2
68,1,1,0,7,298,1,active,28,False,1604812587,1,0,298,,,1604815195,1604815195,0,0
69,1,1,2,1,301,1,active,55,False,1604814926,1,0,301,,,1604815195,1604815195,1,0
70,0,1,4,1,302,1,active,32,False,1604814556,1,0,302,,,1604815195,1604815195,1,0
71,0,1,0,3,303,1,active,64,False,1604814021,1,0,303,,,1604815195,1604815195,0,2
72,5,1,5,3,304,1,active,25,True,1604815107,1,0,304,,,1604815195,1604815195,4,0
73,1,1,2,26,305,1,active,5,False,1604814957,1,0,305,,,1604815195,1604815195,0,0
74,4,1,0,0,307,1,active,30,False,1604814868,1,0,307,,,1604815195,1604815195,0,1
75,3,1,1,0,308,1,active,47,False,1604814984,1,0,308,,,1604815195,1604815195,0,0
76,0,1,2,0,309,1,active,39,False,1604805519,1,0,309,,,1604815195,1604815195,0,0
77,0,1,0,10,310,1,active,56,False,1604813710,1,0,310,,,1604815195,1604815195,2,0
78,0,1,1,3,311,1,active,27,False,1604815082,1,0,311,,,1604815195,1604815195,3,0
79,2,1,4,1,312,1,active,28,False,1604815092,1,0,312,,,1604815195,1604815195,0,1
80,0,1,0,28,313,1,active,27,False,1604813892,1,0,313,,,1604815195,1604815195,0,0
81,3,1,0,21,315,1,active,8,False,1604814154,1,0,315,,,1604815195,1604815195,0,1
82,1,1,0,24,316,1,active,19,False,1604814811,1,0,316,,,1604815195,1604815195,0,0
83,0,1,3,6,317,1,active,45,False,1604815182,1,0,317,,,1604815195,1604815195,5,0
84,0,1,4,0,319,1,active,29,False,1604814542,1,0,319,,,1604815195,1604815195,0,1
85,0,1,0,8,320,1,active,31,False,1604812213,1,0,320,,,1604815195,1604815195,1,0
86,3,1,2,1,321,1,active,36,False,1604812798,1,0,321,,,1604815195,1604815195,0,0
87,1,1,0,35,323,1,active,4,False,1604812786,1,0,323,,,1604815195,1604815195,0,0
88,0,1,0,15,324,1,active,59,False,1604814654,1,0,324,,,1604815195,1604815195,0,0
89,1,1,2,9,325,1,active,24,False,1604812147,1,0,325,,,1604815195,1604815195,0,2
90,1,1,0,9,326,1,active,32,False,1604814977,1,0,326,,,1604815195,1604815195,0,0
91,0,1,2,0,327,1,active,37,True,1604809459,1,0,327,,,1604815195,1604815195,0,0
92,0,1,1,5,328,1,active,29,False,1604815125,1,0,328,,,1604815195,1604815195,1,0
93,0,1,2,32,330,1,active,5,False,1604812317,1,0,330,,,1604815195,1604815195,0,1
94,0,1,0,0,331,1,active,27,False,1604801384,1,0,331,,,1604815195,1604815195,0,2
95,3,1,0,11,332,1,active,25,False,1604814625,1,0,332,,,1604815195,1604815195,0,2
96,0,1,2,0,334,1,active,29,False,1604814273,1,0,334,,,1604815195,1604815195,0,3
97,0,1,4,9,335,1,active,14,False,1604814003,1,0,335,,,1604815195,1604815195,0,4
98,0,1,4,17,336,1,active,15,False,1604815140,1,0,336,,,1604815195,1604815195,0,12
99,5,1,2,0,340,1,active,25,False,1604814046,1,0,340,,,1604815195,1604815195,0,1
100,1,1,0,9,341,1,active,10,False,1604806975,1,0,341,,,1604815195,1604815195,0,0
101,1,1,1,21,342,1,active,6,False,1604815087,1,1,342,,,1604815195,1604815195,0,3
102,0,1,0,9,343,1,active,14,False,1604808300,1,0,343,,,1604815195,1604815195,0,0
103,0,1,2,12,344,1,active,9,False,1604814902,1,0,344,,,1604815195,1604815195,3,0
104,0,1,3,5,346,1,active,19,False,1604815022,1,0,346,,,1604815195,1604815195,0,2
105,0,1,0,4,347,1,active,50,False,1604813339,1,0,347,,,1604815195,1604815195,0,1
106,6,1,5,16,349,1,active,40,False,1604814900,1,0,349,,,1604815195,1604815195,3,0
107,3,1,0,0,350,1,active,46,False,1604814926,1,1,350,,,1604815195,1604815195,0,0
108,3,1,0,16,351,1,active,23,False,1604814977,1,0,351,,,1604815195,1604815195,0,0
109,0,1,5,21,353,1,active,1,False,1604814810,1,0,353,,,1604815195,1604815195,0,1
110,1,1,3,32,354,1,active,12,False,1604814620,1,0,354,,,1604815195,1604815195,0,4
111,3,1,1,1,355,1,active,41,False,1604815191,1,0,355,,,1604815195,1604815195,0,3
112,2,1,2,4,356,1,active,17,False,1604813472,1,0,356,,,1604815195,1604815195,0,1
113,1,1,2,0,358,1,active,20,False,1604814717,1,30,358,[{'id': '66dbc8f5-0aca-11e7-82f6-3863bb44ef7c'}],"{'off_dock_count': 47, 'active': True, 'valet_revision': 901, 'station_id': '66dbc8f5-0aca-11e7-82f6-3863bb44ef7c', 'region': 'BKN', 'off_dock_capacity': 70, 'dock_blocked_count': 30}",1604815195,1604815195,0,1
114,0,1,2,74,359,1,active,2,False,1604813828,1,0,359,,,1604815195,1604815195,0,0
115,0,1,0,19,360,1,active,20,False,1604814639,1,0,360,,,1604815195,1604815195,3,0
116,7,1,3,2,361,1,active,74,False,1604815148,1,0,361,,,1604815195,1604815195,0,4
117,0,1,2,55,362,1,active,0,False,1604813679,1,0,362,,,1604815195,1604815195,0,0
118,0,0,0,1,363,0,out_of_service,0,False,1604591481,0,0,363,,,1604815195,1604815195,0,0
119,4,1,1,20,364,1,active,6,False,1604815085,1,0,364,,,1604815195,1604815195,0,0
120,0,1,0,2,366,1,active,31,False,1604814839,1,0,366,,,1604815195,1604815195,1,0
121,0,1,0,43,367,1,active,0,False,1604811795,1,0,367,,,1604815195,1604815195,1,0
122,0,1,2,3,368,1,active,42,False,1604815192,1,0,368,,,1604815195,1604815195,0,7
123,1,1,2,0,369,0,active,74,False,1604814984,0,0,369,,,1604815195,1604815195,0,1
124,0,1,0,19,372,1,active,8,False,1604813081,1,0,372,,,1604815195,1604815195,0,0
125,0,1,2,7,373,1,active,10,False,1604814884,1,0,373,,,1604815195,1604815195,0,2
126,0,1,1,27,376,1,active,14,False,1604814970,1,0,376,,,1604815195,1604815195,0,2
127,0,1,4,1,377,1,active,43,False,1604810907,1,0,377,,,1604815195,1604815195,1,0
128,0,1,0,55,379,1,active,1,False,1604812907,1,0,379,,,1604815195,1604815195,0,1
129,0,1,0,29,380,1,active,13,False,1604815016,1,0,380,,,1604815195,1604815195,0,6
130,0,1,1,12,383,1,active,25,False,1604814723,1,1,383,,,1604815195,1604815195,0,1
131,0,1,1,9,385,1,active,19,False,1604814251,1,0,385,,,1604815195,1604815195,1,0
132,0,1,1,7,386,1,active,74,False,1604813569,1,0,386,,,1604815195,1604815195,0,0
133,1,1,0,19,387,1,active,20,False,1604814817,1,0,387,,,1604815195,1604815195,0,2
134,0,1,2,21,388,1,active,12,False,1604815055,1,0,388,,,1604815195,1604815195,2,0
135,2,1,0,20,389,1,active,7,False,1604814569,1,0,389,,,1604815195,1604815195,0,1
136,0,1,0,24,390,1,active,7,False,1604815144,1,0,390,,,1604815195,1604815195,0,0
137,2,1,0,34,391,1,active,9,False,1604815082,1,0,391,,,1604815195,1604815195,0,8
138,0,1,0,28,392,1,active,7,False,1604812944,1,0,392,,,1604815195,1604815195,0,0
139,0,1,0,3,393,1,active,34,False,1604815102,1,0,393,,,1604815195,1604815195,3,0
140,0,0,0,0,394,0,out_of_service,0,False,86400,0,0,394,,,1604815195,1604815195,0,0
141,0,1,1,17,396,1,active,7,False,1604813227,1,0,396,,,1604815195,1604815195,2,0
142,0,1,0,71,397,1,active,4,False,1604809574,1,0,397,,,1604815195,1604815195,1,0
143,0,1,0,7,398,1,active,24,False,1604814325,1,0,398,,,1604815195,1604815195,1,0
144,2,1,0,23,399,1,active,16,False,1604814611,1,0,399,,,1604815195,1604815195,0,0
145,0,1,1,4,400,1,active,10,False,1604812278,1,0,400,,,1604815195,1604815195,1,0
146,1,1,7,0,401,1,active,35,False,1604814077,1,0,401,,,1604815195,1604815195,0,1
147,1,1,1,33,402,1,active,5,False,1604813582,1,0,402,,,1604815195,1604815195,0,0
148,1,1,1,9,403,1,active,21,False,1604815175,1,0,403,,,1604815195,1604815195,0,3
149,0,1,0,1,405,1,active,50,True,1604814795,1,0,405,,,1604815195,1604815195,0,4
150,4,1,3,4,406,1,active,13,False,1604812329,1,0,406,,,1604815195,1604815195,5,0
151,1,1,2,0,408,1,active,21,False,1604808356,1,0,408,,,1604815195,1604815195,0,0
152,0,1,1,0,410,1,active,44,False,1604814765,1,0,410,,,1604815195,1604815195,0,1
153,1,1,0,0,411,1,active,31,False,1604810839,1,0,411,,,1604815195,1604815195,0,0
154,0,1,3,2,412,1,active,24,False,1604814404,1,0,412,,,1604815195,1604815195,2,0
155,1,1,0,28,415,1,active,18,False,1604814924,1,0,415,,,1604815195,1604815195,0,1
156,1,1,0,26,416,1,active,5,False,1604814962,1,0,416,,,1604815195,1604815195,0,1
157,0,1,0,14,417,1,active,11,False,1604812929,1,0,417,,,1604815195,1604815195,1,0
158,1,1,1,0,418,1,active,36,False,1604814334,1,0,418,,,1604815195,1604815195,0,0
159,0,1,1,11,419,1,active,11,False,1604806607,1,0,419,,,1604815195,1604815195,0,0
160,1,1,3,46,420,1,active,2,False,1604814941,1,0,420,,,1604815195,1604815195,0,0
161,0,1,1,8,421,1,active,10,False,1604805159,1,0,421,,,1604815195,1604815195,0,0
162,0,1,6,48,422,1,active,24,False,1604815017,1,0,422,,,1604815195,1604815195,2,0
163,0,1,3,17,423,1,active,7,False,1604813936,1,0,423,,,1604815195,1604815195,0,0
164,0,1,3,2,426,1,active,25,True,1604814898,1,0,426,,,1604815195,1604815195,1,0
165,0,1,0,18,427,1,active,29,False,1604813787,1,0,427,,,1604815195,1604815195,1,0
166,0,1,2,2,432,1,active,27,False,1604815094,1,0,432,,,1604815195,1604815195,0,6
167,0,1,0,1,434,1,active,59,False,1604813438,1,0,434,,,1604815195,1604815195,0,1
168,0,1,4,15,435,1,active,31,False,1604815009,1,0,435,,,1604815195,1604815195,3,0
169,1,1,0,20,436,1,active,4,False,1604815130,1,3,436,,,1604815195,1604815195,1,0
170,0,1,1,22,437,1,active,1,False,1604811288,1,0,437,,,1604815195,1604815195,1,0
171,2,1,6,7,438,1,active,34,False,1604815090,1,0,438,,,1604815195,1604815195,4,0
172,4,1,0,13,439,1,active,30,False,1604814895,1,0,439,,,1604815195,1604815195,0,3
173,0,1,1,26,440,1,active,5,False,1604813020,1,0,440,,,1604815195,1604815195,0,0
174,0,1,1,46,442,1,active,4,False,1604815113,1,0,442,,,1604815195,1604815195,0,4
175,0,1,1,21,443,1,active,1,False,1604802387,1,0,443,,,1604815195,1604815195,0,0
176,0,1,6,8,445,1,active,66,False,1604814974,1,0,445,,,1604815195,1604815195,5,0
177,0,1,0,72,446,1,active,7,False,1604815052,1,0,446,,,1604815195,1604815195,3,0
178,3,1,4,0,447,0,active,27,False,1604815079,0,0,447,,,1604815195,1604815195,0,0
179,3,1,1,9,448,1,active,17,False,1604814438,1,0,448,,,1604815195,1604815195,5,0
180,0,1,5,33,450,1,active,29,False,1604815054,1,0,450,,,1604815195,1604815195,4,0
181,0,1,2,0,453,1,active,64,False,1604814458,1,0,453,,,1604815195,1604815195,0,0
182,0,1,7,17,454,1,active,11,False,1604815113,1,0,454,,,1604815195,1604815195,7,0
183,0,1,2,47,455,1,active,10,False,1604814591,1,0,455,,,1604815195,1604815195,0,1
184,0,1,0,33,456,1,active,1,False,1604806018,1,0,456,,,1604815195,1604815195,0,0
185,1,1,1,77,457,1,active,1,False,1604814535,1,0,457,,,1604815195,1604815195,0,0
186,0,1,1,22,458,1,active,8,False,1604814612,1,0,458,,,1604815195,1604815195,0,0
187,0,1,4,4,460,1,active,17,False,1604815171,1,0,460,,,1604815195,1604815195,2,0
188,0,1,2,33,461,1,active,21,False,1604814229,1,0,461,,,1604815195,1604815195,0,4
189,1,1,0,0,462,1,active,77,False,1604814540,1,0,462,,,1604815195,1604815195,0,1
190,0,1,0,48,464,1,active,4,False,1604813286,1,1,464,,,1604815195,1604815195,0,1
191,0,1,6,33,465,1,active,0,False,1604814851,1,0,465,,,1604815195,1604815195,2,0
192,0,1,0,18,466,1,active,9,False,1604814848,1,8,466,,,1604815195,1604815195,0,6
193,2,1,2,0,467,1,active,32,False,1604813708,1,0,467,,,1604815195,1604815195,0,6
194,0,1,1,62,468,1,active,2,False,1604815172,1,0,468,,,1604815195,1604815195,0,2
195,0,1,3,53,469,1,active,1,False,1604813353,1,0,469,,,1604815195,1604815195,0,1
196,0,1,1,2,470,1,active,69,False,1604815099,1,0,470,,,1604815195,1604815195,1,0
197,0,1,1,4,471,1,active,26,False,1604815092,1,0,471,,,1604815195,1604815195,0,0
198,1,1,2,48,472,1,active,5,False,1604815035,1,0,472,,,1604815195,1604815195,0,0
199,1,1,1,0,473,1,active,49,False,1604814065,1,0,473,,,1604815195,1604815195,0,1
200,1,1,3,49,474,1,active,4,False,1604814191,1,0,474,,,1604815195,1604815195,0,4
201,4,1,3,26,476,1,active,36,False,1604815180,1,0,476,,,1604815195,1604815195,0,5
202,1,1,1,58,477,1,active,12,False,1604815111,1,0,477,,,1604815195,1604815195,0,0
203,0,1,0,0,478,1,active,37,False,1604814936,1,0,478,,,1604815195,1604815195,0,0
204,0,1,5,22,479,1,active,4,False,1604814531,1,0,479,,,1604815195,1604815195,8,0
205,0,1,5,17,480,1,active,7,False,1604814255,1,0,480,,,1604815195,1604815195,1,0
206,1,1,1,11,481,1,active,13,False,1604814560,1,0,481,,,1604815195,1604815195,2,0
207,0,1,1,2,482,1,active,76,False,1604814961,1,0,482,,,1604815195,1604815195,2,0
208,6,1,2,0,483,1,active,32,False,1604815189,1,0,483,,,1604815195,1604815195,0,2
209,0,1,0,45,484,1,active,1,False,1604810273,1,0,484,,,1604815195,1604815195,0,0
210,0,1,0,40,485,1,active,0,False,1604812903,1,0,485,,,1604815195,1604815195,0,0
211,0,1,4,37,486,1,active,0,False,1604814738,1,0,486,,,1604815195,1604815195,2,0
212,0,1,3,3,487,1,active,29,False,1604814631,1,0,487,,,1604815195,1604815195,2,0
213,1,1,3,28,489,1,active,18,False,1604814811,1,0,489,,,1604815195,1604815195,6,0
214,0,1,2,61,490,1,active,3,False,1604815175,1,0,490,,,1604815195,1604815195,0,0
215,1,1,0,67,492,1,active,1,False,1604814640,1,0,492,,,1604815195,1604815195,0,1
216,1,1,5,26,493,1,active,3,False,1604814768,1,0,493,,,1604815195,1604815195,0,3
217,0,1,4,29,494,1,active,33,False,1604815134,1,0,494,,,1604815195,1604815195,0,0
218,2,1,0,1,495,1,active,38,False,1604815051,1,0,495,,,1604815195,1604815195,0,2
219,0,1,1,8,496,1,active,56,False,1604812857,1,0,496,,,1604815195,1604815195,1,0
