,is_installed,is_renting,legacy_id,station_id,num_bikes_available,num_ebikes_available,num_docks_disabled,is_returning,eightd_has_available_keys,station_status,num_bikes_disabled,num_docks_available,last_reported,eightd_active_station_services,valet,starttime,timestamp,demand,supply
446,1,1,3292,3292,10,4,1,1,True,active,0,32,1605278469,,,1605279595,1605279595,0,2
447,1,1,3293,3293,2,2,0,1,False,active,1,21,1605278750,,,1605279595,1605279595,1,0
448,1,1,3294,3294,6,5,0,1,True,active,1,31,1605278575,,,1605279595,1605279595,0,0
449,1,1,3296,3296,12,0,0,1,False,active,1,29,1605278121,,,1605279595,1605279595,0,2
450,1,1,3297,3297,3,3,0,1,False,active,2,16,1605278870,,,1605279595,1605279595,1,0
451,1,1,3298,3298,22,2,0,1,False,active,0,1,1605279203,,,1605279595,1605279595,0,1
452,1,1,3299,3299,12,4,0,1,False,active,1,12,1605278880,,,1605279595,1605279595,2,0
453,1,1,3300,3300,1,1,0,1,False,active,0,24,1605278055,,,1605279595,1605279595,0,0
454,1,1,3301,3301,11,8,2,1,False,active,2,24,1605278463,,,1605279595,1605279595,0,2
455,1,1,3302,3302,6,4,0,1,False,active,0,16,1605276418,,,1605279595,1605279595,1,0
456,1,1,3303,3303,20,1,0,1,False,active,0,5,1605278170,,,1605279595,1605279595,0,0
457,1,1,3304,3304,12,0,0,1,False,active,2,13,1605278472,,,1605279595,1605279595,0,3
458,1,0,3305,3305,14,7,0,0,False,active,0,25,1605279553,,,1605279595,1605279595,0,0
459,1,1,3306,3306,3,0,0,1,False,active,0,20,1605277672,,,1605279595,1605279595,0,1
460,1,1,3307,3307,4,0,0,1,False,active,3,24,1605277644,,,1605279595,1605279595,1,0
461,1,1,3308,3308,21,0,0,1,False,active,0,6,1605272819,,,1605279595,1605279595,0,0
462,1,1,3309,3309,12,1,0,1,False,active,0,18,1605277904,,,1605279595,1605279595,0,0
463,1,1,3310,3310,3,2,0,1,False,active,0,21,1605276609,,,1605279595,1605279595,1,0
464,1,1,3311,3311,19,0,0,1,False,active,0,2,1605278609,,,1605279595,1605279595,1,0
465,1,1,3312,3312,37,4,0,1,False,active,1,1,1605279305,,,1605279595,1605279595,0,0
466,1,1,3313,3313,6,0,0,1,False,active,0,23,1605275540,,,1605279595,1605279595,0,0
467,1,1,3314,3314,10,1,0,1,False,active,1,21,1605278780,,,1605279595,1605279595,1,0
468,1,1,3315,3315,10,2,0,1,False,active,0,13,1605278180,,,1605279595,1605279595,0,0
469,1,1,3317,3317,11,0,0,1,False,active,0,13,1605276420,,,1605279595,1605279595,0,0
470,1,1,3318,3318,38,2,0,1,False,active,0,1,1605279272,,,1605279595,1605279595,0,8
471,1,1,3319,3319,15,1,0,1,False,active,2,4,1605278182,,,1605279595,1605279595,0,1
472,1,1,3321,3321,7,0,0,1,False,active,0,18,1605274641,,,1605279595,1605279595,0,1
473,1,1,3322,3322,22,1,0,1,False,active,0,3,1605279578,,,1605279595,1605279595,0,1
474,1,1,3323,3323,26,21,0,1,True,active,2,31,1605277773,,,1605279595,1605279595,0,0
475,1,1,3324,3324,21,1,0,1,False,active,0,4,1605274319,,,1605279595,1605279595,1,0
476,1,1,3325,3325,9,1,0,1,False,active,0,22,1605277051,,,1605279595,1605279595,0,0
477,1,1,3326,3326,5,0,0,1,False,active,0,16,1605279479,,,1605279595,1605279595,0,0
478,1,1,3327,3327,4,1,0,1,False,active,0,23,1605279581,,,1605279595,1605279595,0,0
479,1,1,3328,3328,13,0,0,1,False,active,1,25,1605279479,,,1605279595,1605279595,0,0
480,1,1,3329,3329,11,1,0,1,False,active,1,15,1605279049,,,1605279595,1605279595,0,1
481,1,1,3330,3330,7,0,0,1,False,active,0,12,1605279379,,,1605279595,1605279595,0,0
482,1,1,3331,3331,10,1,0,1,True,active,0,29,1605279426,,,1605279595,1605279595,0,0
483,1,1,3332,3332,18,0,0,1,False,active,1,0,1605274909,,,1605279595,1605279595,0,1
484,1,1,3333,3333,20,2,0,1,False,active,0,1,1605269640,,,1605279595,1605279595,0,1
485,1,1,3335,3335,23,3,0,1,False,active,1,4,1605278174,,,1605279595,1605279595,1,0
486,1,1,3336,3336,2,2,0,1,False,active,0,39,1605277335,,,1605279595,1605279595,0,0
487,1,1,3337,3337,21,0,0,1,False,active,0,2,1605279080,,,1605279595,1605279595,1,0
488,1,1,3338,3338,26,2,0,1,False,active,0,5,1605278071,,,1605279595,1605279595,1,0
489,1,1,3339,3339,17,1,0,1,False,active,1,5,1605277195,,,1605279595,1605279595,0,0
490,1,1,3340,3340,21,0,0,1,False,active,0,0,1605275594,,,1605279595,1605279595,0,0
491,1,1,3342,3342,17,0,0,1,False,active,0,6,1605277576,,,1605279595,1605279595,0,0
492,1,1,3343,3343,9,9,0,1,False,active,0,14,1605278374,,,1605279595,1605279595,0,1
493,1,1,3344,3344,13,1,0,1,False,active,1,5,1605278079,,,1605279595,1605279595,1,0
494,1,1,3345,3345,21,15,0,1,False,active,0,14,1605276381,,,1605279595,1605279595,4,0
