,station_id,num_bikes_available,eightd_has_available_keys,last_reported,legacy_id,num_docks_available,num_ebikes_available,num_bikes_disabled,station_status,is_installed,num_docks_disabled,is_renting,is_returning,starttime,timestamp,demand,supply
86,321,19,False,1604238376,321,20,0,0,active,1,0,1,1,1604239360,1604239360,19,19
87,323,17,False,1604237650,323,22,0,0,active,1,0,1,1,1604239360,1604239360,17,17
88,324,42,False,1604239305,324,30,0,2,active,1,0,1,1,1604239360,1604239360,42,42
89,325,22,False,1604239130,325,13,0,0,active,1,0,1,1,1604239360,1604239360,22,22
90,326,0,False,86400,326,0,0,0,out_of_service,0,0,0,0,1604239360,1604239360,0,0
91,327,24,True,1604238964,327,15,2,0,active,1,0,1,1,1604239360,1604239360,24,24
92,328,16,False,1604239294,328,6,0,1,active,1,0,1,1,1604239360,1604239360,16,16
93,330,18,False,1604239168,330,20,1,1,active,1,0,1,1,1604239360,1604239360,18,18
94,331,17,False,1604239091,331,6,1,4,active,1,0,1,1,1604239360,1604239360,17,17
95,332,17,False,1604239034,332,19,1,0,active,1,0,1,1,1604239360,1604239360,17,17
96,334,22,False,1604238908,334,8,1,1,active,1,0,1,1,1604239360,1604239360,22,22
97,335,19,False,1604237971,335,6,0,2,active,1,0,1,1,1604239360,1604239360,19,19
98,336,26,False,1604238600,336,9,0,1,active,1,0,1,1,1604239360,1604239360,26,26
99,340,13,False,1604239171,340,13,3,1,active,1,0,1,1,1604239360,1604239360,13,13
100,341,18,False,1604238760,341,0,4,1,active,1,0,1,1,1604239360,1604239360,18,18
101,342,16,False,1604239303,342,11,0,2,active,1,0,1,1,1604239360,1604239360,16,16
102,343,20,False,1604236615,343,2,2,1,active,1,0,1,1,1604239360,1604239360,20,20
103,344,16,False,1604239262,344,6,4,1,active,1,0,1,1,1604239360,1604239360,16,16
104,346,23,False,1604237181,346,2,0,2,active,1,0,1,1,1604239360,1604239360,23,23
105,347,10,False,1604239272,347,43,0,1,active,1,0,1,1,1604239360,1604239360,10,10
106,349,40,False,1604238890,349,20,4,1,active,1,0,1,1,1604239360,1604239360,40,40
107,350,32,False,1604239091,350,13,2,2,active,1,0,1,1,1604239360,1604239360,32,32
108,351,1,False,1604236012,351,38,1,0,active,1,0,1,1,1604239360,1604239360,1,1
109,353,22,False,1604237101,353,2,1,3,active,1,0,1,1,1604239360,1604239360,22,22
110,354,14,False,1604238517,354,33,5,0,active,1,0,1,1,1604239360,1604239360,14,14
111,355,38,False,1604238978,355,5,3,0,active,1,0,1,1,1604239360,1604239360,38,38
112,356,18,False,1604239233,356,5,1,0,active,1,0,1,1,1604239360,1604239360,18,18
113,358,48,False,1604238704,358,1,2,1,active,1,0,1,1,1604239360,1604239360,48,48
114,359,0,False,1604220464,359,72,0,6,active,1,0,1,1,1604239360,1604239360,0,0
