,station_id,is_renting,num_ebikes_available,station_status,last_reported,legacy_id,eightd_has_available_keys,num_docks_disabled,num_bikes_disabled,num_bikes_available,is_installed,is_returning,num_docks_available,eightd_active_station_services,valet,starttime,timestamp,demand,supply
736,3673,1,0,active,1604633695,3673,False,0,1,4,1,1,16,,,1604638805,1604638805,2,0
737,3674,1,0,active,1604636804,3674,False,0,3,0,1,1,24,,,1604638805,1604638805,0,0
738,3676,1,3,active,1604636114,3676,False,0,0,16,1,1,8,,,1604638805,1604638805,1,0
739,3677,1,0,active,1604635956,3677,False,0,0,1,1,1,17,,,1604638805,1604638805,0,0
740,3678,1,0,active,1604638188,3678,False,0,0,3,1,1,15,,,1604638805,1604638805,0,0
741,3679,1,0,active,1604635967,3679,False,0,0,4,1,1,10,,,1604638805,1604638805,1,0
742,3680,1,0,active,1604636180,3680,False,0,2,0,1,1,53,,,1604638805,1604638805,0,0
743,3681,1,0,active,1604636104,3681,False,0,0,17,1,1,1,,,1604638805,1604638805,0,0
744,3686,1,0,active,1604636704,3686,False,0,1,28,1,1,10,,,1604638805,1604638805,0,2
745,3687,1,0,active,1604638492,3687,False,0,1,13,1,1,69,,,1604638805,1604638805,0,1
746,3689,1,1,active,1604636017,3689,False,0,0,5,1,1,42,,,1604638805,1604638805,0,1
747,3690,1,0,active,1604636354,3690,False,0,1,2,1,1,33,,,1604638805,1604638805,0,1
748,3691,1,3,active,1604638256,3691,False,0,0,12,1,1,7,,,1604638805,1604638805,0,0
749,3693,1,0,active,1604638289,3693,False,0,0,22,1,1,5,,,1604638805,1604638805,0,1
750,3694,1,0,active,1604635921,3694,False,0,0,4,1,1,14,,,1604638805,1604638805,0,0
751,3697,1,9,active,1604638756,3697,False,0,1,27,1,1,15,,,1604638805,1604638805,0,0
752,3699,1,2,active,1604638547,3699,False,0,2,16,1,1,12,,,1604638805,1604638805,1,0
753,3704,1,0,active,1604635876,3704,False,0,0,10,1,1,9,,,1604638805,1604638805,0,0
754,3707,1,1,active,1604638477,3707,False,0,1,34,1,1,20,,,1604638805,1604638805,0,0
755,3708,1,1,active,1604638630,3708,False,0,1,12,1,1,16,,,1604638805,1604638805,0,1
756,3709,1,0,active,1604638061,3709,False,0,2,9,1,1,40,,,1604638805,1604638805,0,5
757,3711,1,1,active,1604638591,3711,False,0,0,46,1,1,1,,,1604638805,1604638805,0,3
758,3712,1,0,active,1604638473,3712,False,0,0,18,1,1,17,,,1604638805,1604638805,3,0
759,3714,1,2,active,1604637682,3714,False,0,1,4,1,1,56,,,1604638805,1604638805,3,0
760,3715,1,3,active,1604637854,3715,False,0,5,26,1,1,0,,,1604638805,1604638805,0,1
761,3716,1,2,active,1604635992,3716,False,0,0,9,1,1,14,,,1604638805,1604638805,1,0
762,3718,1,2,active,1604638281,3718,False,1,0,39,1,1,6,,,1604638805,1604638805,1,0
763,3721,1,0,active,1604638541,3721,False,0,0,9,1,1,26,,,1604638805,1604638805,0,0
764,3723,1,0,active,1604632649,3723,True,0,0,2,1,1,28,,,1604638805,1604638805,0,0
765,3724,1,0,active,1604638461,3724,False,0,3,1,1,1,35,,,1604638805,1604638805,0,0
766,3725,1,0,active,1604637763,3725,False,0,0,4,1,1,37,,,1604638805,1604638805,1,0
767,3726,1,3,active,1604636425,3726,False,0,0,5,1,1,18,,,1604638805,1604638805,0,0
768,3727,1,1,active,1604637889,3727,False,0,0,4,1,1,34,,,1604638805,1604638805,0,1
769,3728,1,0,active,1604635941,3728,False,0,0,1,1,1,23,,,1604638805,1604638805,0,0
770,3731,1,0,active,1604637095,3731,False,0,0,0,1,1,46,,,1604638805,1604638805,0,0
771,3733,1,8,active,1604637902,3733,False,0,1,35,1,1,10,,,1604638805,1604638805,2,0
772,3734,1,0,active,1604637352,3734,False,0,2,13,1,1,35,,,1604638805,1604638805,0,0
773,3735,1,1,active,1604637981,3735,False,0,1,28,1,1,9,,,1604638805,1604638805,1,0
774,3736,0,0,out_of_service,1601471240,3736,False,0,0,0,0,0,3,,,1604638805,1604638805,0,0
775,3737,1,0,active,1604638680,3737,False,0,0,29,1,1,6,,,1604638805,1604638805,1,0
776,3738,1,0,active,1604637383,3738,False,0,1,20,1,1,10,,,1604638805,1604638805,0,1
777,3739,1,0,active,1604636725,3739,False,0,0,33,1,1,4,,,1604638805,1604638805,0,0
778,3740,1,0,active,1604638437,3740,False,0,2,16,1,1,16,,,1604638805,1604638805,0,2
779,3744,1,1,active,1604638074,3744,False,0,1,31,1,1,19,,,1604638805,1604638805,0,3
780,3745,1,2,active,1604636627,3745,False,0,0,5,1,1,22,,,1604638805,1604638805,0,0
781,3746,1,0,active,1604638777,3746,False,0,1,33,1,1,14,,,1604638805,1604638805,0,0
782,3749,1,2,active,1604637631,3749,False,0,0,21,1,1,2,,,1604638805,1604638805,1,0
783,3755,1,3,active,1604638341,3755,False,0,1,8,1,1,10,,,1604638805,1604638805,0,0
784,3756,1,0,active,1604638230,3756,False,0,1,14,1,1,6,,,1604638805,1604638805,0,1
785,3757,1,1,active,1604636099,3757,False,0,0,19,1,1,4,,,1604638805,1604638805,0,1
786,3758,1,2,active,1604637777,3758,False,0,0,12,1,1,7,,,1604638805,1604638805,0,0
787,3759,1,0,active,1604637586,3759,False,0,1,11,1,1,7,,,1604638805,1604638805,0,1
788,3760,1,0,active,1604636079,3760,False,0,0,21,1,1,2,,,1604638805,1604638805,0,0
