,legacy_id,last_reported,num_docks_available,station_status,num_bikes_disabled,station_id,is_installed,num_docks_disabled,is_returning,num_bikes_available,eightd_has_available_keys,num_ebikes_available,is_renting,eightd_active_station_services,valet,starttime,timestamp,demand,supply
848,3831,1604255730,33,active,0,3831,1,0,1,2,False,0,1,,,1604257195,1604257195,2,2
849,3832,1604257074,12,active,0,3832,1,0,1,9,False,1,1,,,1604257195,1604257195,9,9
850,3833,1604236686,18,active,0,3833,1,0,1,0,False,0,1,,,1604257195,1604257195,0,0
851,3834,1604256295,16,active,1,3834,1,0,1,2,False,0,1,,,1604257195,1604257195,2,2
852,3835,1604243104,21,active,1,3835,1,0,1,0,False,0,1,,,1604257195,1604257195,0,0
853,3836,1604251865,28,active,0,3836,1,0,1,1,False,1,1,,,1604257195,1604257195,1,1
854,3837,1604256781,27,active,0,3837,1,0,1,2,False,2,1,,,1604257195,1604257195,2,2
855,3838,1604249587,18,active,1,3838,1,0,1,6,False,3,1,,,1604257195,1604257195,6,6
856,3839,1604255951,28,active,0,3839,1,0,1,1,False,0,1,,,1604257195,1604257195,1,1
857,3840,1604254425,24,active,0,3840,1,0,1,0,False,0,1,,,1604257195,1604257195,0,0
858,3841,1604256322,15,active,1,3841,1,0,1,9,False,0,1,,,1604257195,1604257195,9,9
859,3842,1604256947,27,active,1,3842,1,0,1,1,False,0,1,,,1604257195,1604257195,1,1
860,3843,1604247675,21,active,1,3843,1,0,1,1,False,0,1,,,1604257195,1604257195,1,1
861,3844,1604255224,23,active,0,3844,1,0,1,2,False,0,1,,,1604257195,1604257195,2,2
862,3845,1604249263,18,active,0,3845,1,0,1,3,False,0,1,,,1604257195,1604257195,3,3
863,3846,1604253983,19,active,1,3846,1,0,1,5,False,1,1,,,1604257195,1604257195,5,5
864,3847,1604251873,21,active,0,3847,1,0,1,4,False,2,1,,,1604257195,1604257195,4,4
865,3848,1604256201,27,active,0,3848,1,0,1,5,False,2,1,,,1604257195,1604257195,5,5
866,3849,1604245967,6,active,0,3849,1,0,1,11,False,0,1,,,1604257195,1604257195,11,11
867,3850,1604249693,0,active,0,3850,1,0,1,25,False,5,1,,,1604257195,1604257195,25,25
868,3851,1604220287,4,active,0,3851,1,0,1,16,False,1,1,,,1604257195,1604257195,16,16
869,3852,1604220168,0,active,0,3852,1,0,1,17,False,0,1,,,1604257195,1604257195,17,17
870,3853,1604250569,9,active,0,3853,1,0,1,11,False,3,1,,,1604257195,1604257195,11,11
871,3854,1604250725,19,active,0,3854,1,0,1,5,False,2,1,,,1604257195,1604257195,5,5
872,3855,1604256002,13,active,1,3855,1,0,1,8,False,0,1,,,1604257195,1604257195,8,8
873,3856,1604252447,21,active,0,3856,1,0,1,4,False,1,1,,,1604257195,1604257195,4,4
874,3857,1604254993,12,active,0,3857,1,0,1,7,False,0,1,,,1604257195,1604257195,7,7
875,3858,1604248577,0,active,0,3858,1,0,1,20,False,1,1,,,1604257195,1604257195,20,20
876,3859,1604251128,0,active,0,3859,1,0,1,20,False,2,1,,,1604257195,1604257195,20,20
877,3860,1604257080,18,active,0,3860,1,0,1,8,False,0,1,,,1604257195,1604257195,8,8
878,3861,1604226570,20,active,0,3861,1,0,1,0,False,0,1,,,1604257195,1604257195,0,0
879,3862,1604244559,17,active,0,3862,1,0,1,1,False,0,1,,,1604257195,1604257195,1,1
880,3863,1604237855,12,active,0,3863,1,0,1,6,False,2,1,,,1604257195,1604257195,6,6
881,3864,1604221320,29,active,0,3864,1,0,1,1,False,0,1,,,1604257195,1604257195,1,1
882,3865,1604221376,17,active,0,3865,1,0,1,7,False,0,1,,,1604257195,1604257195,7,7
883,3866,1604248461,24,active,0,3866,1,0,1,8,False,3,1,,,1604257195,1604257195,8,8
884,3867,1604257150,24,active,1,3867,1,0,1,4,False,0,1,,,1604257195,1604257195,4,4
885,3868,1604245789,19,active,0,3868,1,0,1,0,False,0,1,,,1604257195,1604257195,0,0
886,3869,1604254362,20,active,2,3869,1,0,1,2,False,0,1,,,1604257195,1604257195,2,2
887,3870,1604254275,16,active,0,3870,1,0,1,4,False,4,1,,,1604257195,1604257195,4,4
888,3871,1604246625,25,active,0,3871,1,0,1,5,False,3,1,,,1604257195,1604257195,5,5
889,3872,1604253144,15,active,0,3872,1,0,1,4,False,0,1,,,1604257195,1604257195,4,4
890,3873,1604244937,13,active,0,3873,1,0,1,4,False,0,1,,,1604257195,1604257195,4,4
891,3874,1604250611,16,active,0,3874,1,0,1,0,False,0,1,,,1604257195,1604257195,0,0
892,3875,1604254213,14,active,0,3875,1,0,1,1,False,0,1,,,1604257195,1604257195,1,1
893,3876,1604250351,11,active,0,3876,1,0,1,12,False,4,1,,,1604257195,1604257195,12,12
894,3877,1604249579,20,active,0,3877,1,0,1,5,False,5,1,,,1604257195,1604257195,5,5
895,3878,1604248303,19,active,0,3878,1,0,1,0,False,0,1,,,1604257195,1604257195,0,0
896,3879,1604252761,14,active,0,3879,1,0,1,11,False,4,1,,,1604257195,1604257195,11,11
897,3880,1604249786,19,active,0,3880,1,0,1,8,False,0,1,,,1604257195,1604257195,8,8
898,3881,1604256650,10,active,0,3881,1,0,1,29,False,1,1,,,1604257195,1604257195,29,29
899,3882,1604254078,12,active,0,3882,1,0,1,3,False,1,1,,,1604257195,1604257195,3,3
900,3883,1604236650,19,active,0,3883,1,0,1,0,False,0,1,,,1604257195,1604257195,0,0
901,3884,1604248098,15,active,0,3884,1,0,1,8,False,6,1,,,1604257195,1604257195,8,8
902,3885,1604247607,18,active,0,3885,1,0,1,1,False,0,1,,,1604257195,1604257195,1,1
903,3886,1604252333,18,active,0,3886,1,0,1,2,False,1,1,,,1604257195,1604257195,2,2
904,3887,1604254218,12,active,1,3887,1,0,1,8,False,0,1,,,1604257195,1604257195,8,8
905,3888,1604253792,18,active,0,3888,1,0,1,1,False,0,1,,,1604257195,1604257195,1,1
906,3890,1604256816,23,active,0,3890,1,0,1,8,False,0,1,,,1604257195,1604257195,8,8
907,3891,1604256426,15,active,0,3891,1,0,1,5,False,1,1,,,1604257195,1604257195,5,5
908,3892,1604252361,15,active,0,3892,1,0,1,4,False,0,1,,,1604257195,1604257195,4,4
909,3893,1604250034,23,active,0,3893,1,0,1,2,False,1,1,,,1604257195,1604257195,2,2
910,3894,1604256265,32,active,2,3894,1,0,1,2,False,0,1,,,1604257195,1604257195,2,2
911,3895,1604226356,24,active,0,3895,1,0,1,1,False,0,1,,,1604257195,1604257195,1,1
912,3896,1604256958,18,active,0,3896,1,0,1,4,False,0,1,,,1604257195,1604257195,4,4
913,3897,1604249541,15,active,0,3897,1,0,1,2,False,1,1,,,1604257195,1604257195,2,2
914,3898,86400,0,out_of_service,0,3898,0,0,0,0,False,0,0,,,1604257195,1604257195,0,0
915,3899,1604253060,6,active,0,3899,1,0,1,12,False,1,1,,,1604257195,1604257195,12,12
916,3900,1604255473,24,active,0,3900,1,0,1,6,False,1,1,,,1604257195,1604257195,6,6
917,3901,1604250012,16,active,0,3901,1,0,1,1,False,0,1,,,1604257195,1604257195,1,1
918,3902,1604249484,15,active,0,3902,1,0,1,4,False,3,1,,,1604257195,1604257195,4,4
919,3903,1604252284,16,active,0,3903,1,0,1,1,False,1,1,,,1604257195,1604257195,1,1
920,3905,1604256945,4,active,2,3905,1,0,1,21,False,0,1,,,1604257195,1604257195,21,21
921,3906,1604257047,16,active,1,3906,1,0,1,15,False,1,1,,,1604257195,1604257195,15,15
922,3907,1604249527,15,active,0,3907,1,0,1,2,False,1,1,,,1604257195,1604257195,2,2
923,3909,1604252380,15,active,0,3909,1,0,1,5,False,4,1,,,1604257195,1604257195,5,5
924,3910,1604246114,14,active,0,3910,1,0,1,3,False,1,1,,,1604257195,1604257195,3,3
925,3911,1604255827,5,active,1,3911,1,0,1,16,False,0,1,,,1604257195,1604257195,16,16
926,3913,1604255705,4,active,0,3913,1,0,1,15,False,2,1,,,1604257195,1604257195,15,15
927,3914,1604256450,36,active,1,3914,1,0,1,2,False,0,1,,,1604257195,1604257195,2,2
928,3916,1604256352,2,active,0,3916,1,0,1,43,True,3,1,,,1604257195,1604257195,43,43
929,3917,1604255534,19,active,0,3917,1,0,1,12,False,1,1,,,1604257195,1604257195,12,12
930,3918,1604256764,10,active,0,3918,1,0,1,20,False,1,1,,,1604257195,1604257195,20,20
931,3919,1604256146,28,active,0,3919,1,0,1,9,False,1,1,,,1604257195,1604257195,9,9
932,3920,1604256639,12,active,1,3920,1,0,1,6,False,0,1,,,1604257195,1604257195,6,6
933,3921,1604246551,13,active,1,3921,1,0,1,5,False,0,1,,,1604257195,1604257195,5,5
934,3922,1604246073,3,active,0,3922,1,0,1,16,False,1,1,,,1604257195,1604257195,16,16
935,3923,1604244343,11,active,0,3923,1,0,1,6,False,0,1,,,1604257195,1604257195,6,6
936,3924,1604254098,11,active,0,3924,1,0,1,14,False,0,1,,,1604257195,1604257195,14,14
937,3925,1604255361,14,active,0,3925,1,0,1,7,False,0,1,,,1604257195,1604257195,7,7
938,3926,1604253642,1,active,0,3926,1,0,1,19,False,0,1,,,1604257195,1604257195,19,19
939,3927,1604257141,4,active,0,3927,1,0,1,23,False,4,1,,,1604257195,1604257195,23,23
940,3928,1604254054,6,active,0,3928,1,0,1,12,False,0,1,,,1604257195,1604257195,12,12
941,3929,1604255459,14,active,2,3929,1,0,1,3,False,1,1,,,1604257195,1604257195,3,3
942,3930,1604248830,10,active,0,3930,1,0,1,9,False,0,1,,,1604257195,1604257195,9,9
943,3931,1604256679,21,active,0,3931,1,0,1,2,False,0,1,,,1604257195,1604257195,2,2
944,3932,1604254908,19,active,1,3932,1,0,1,3,False,0,1,,,1604257195,1604257195,3,3
945,3933,1604222650,0,active,0,3933,1,0,1,19,False,0,1,,,1604257195,1604257195,19,19
946,3934,1604256624,7,active,0,3934,1,0,1,20,False,0,1,,,1604257195,1604257195,20,20
947,3935,1604249791,17,active,1,3935,1,0,1,1,False,0,1,,,1604257195,1604257195,1,1
948,3936,1604251011,0,active,0,3936,1,0,1,19,False,0,1,,,1604257195,1604257195,19,19
949,3937,1604249131,17,active,1,3937,1,0,1,5,False,0,1,,,1604257195,1604257195,5,5
950,3938,1604223892,17,active,0,3938,1,0,1,2,False,1,1,,,1604257195,1604257195,2,2
951,3939,1604252010,17,active,0,3939,1,0,1,4,False,0,1,,,1604257195,1604257195,4,4
952,3940,1604221343,13,active,1,3940,1,0,1,2,False,0,1,,,1604257195,1604257195,2,2
953,3941,1604221401,12,active,0,3941,1,0,1,5,False,0,1,,,1604257195,1604257195,5,5
954,3942,1604248918,20,active,0,3942,1,0,1,1,False,0,1,,,1604257195,1604257195,1,1
955,3944,1604252626,30,active,0,3944,1,0,1,0,False,0,1,,,1604257195,1604257195,0,0
956,3945,1604253074,19,active,1,3945,1,0,1,1,False,0,1,,,1604257195,1604257195,1,1
957,3946,1604255201,12,active,0,3946,1,0,1,9,False,1,1,,,1604257195,1604257195,9,9
958,3947,1604231532,15,active,0,3947,1,0,1,3,False,3,1,,,1604257195,1604257195,3,3
959,3948,1604256441,20,active,0,3948,1,0,1,3,False,1,1,,,1604257195,1604257195,3,3
960,3949,1604256840,8,active,1,3949,1,0,1,14,False,1,1,,,1604257195,1604257195,14,14
961,3950,1604221730,16,active,0,3950,1,0,1,3,False,0,1,,,1604257195,1604257195,3,3
962,3951,1604251192,10,active,0,3951,1,0,1,9,False,1,1,,,1604257195,1604257195,9,9
963,3952,1604256162,17,active,0,3952,1,0,1,2,False,2,1,,,1604257195,1604257195,2,2
964,3953,1604252424,9,active,0,3953,1,0,1,16,False,2,1,,,1604257195,1604257195,16,16
965,3955,1604249983,13,active,0,3955,1,0,1,6,False,2,1,,,1604257195,1604257195,6,6
966,3956,1604248997,20,active,0,3956,1,0,1,3,False,1,1,,,1604257195,1604257195,3,3
967,3957,1604221580,18,active,0,3957,1,0,1,1,False,0,1,,,1604257195,1604257195,1,1
968,3958,1604240860,21,active,0,3958,1,0,1,2,False,0,1,,,1604257195,1604257195,2,2
969,3959,1604256302,25,active,2,3959,1,0,1,4,False,1,1,,,1604257195,1604257195,4,4
970,3960,1604256903,18,active,0,3960,1,0,1,3,False,2,1,,,1604257195,1604257195,3,3
971,3961,1604249155,1,active,0,3961,1,0,1,18,False,0,1,,,1604257195,1604257195,18,18
972,3963,1604244426,19,active,0,3963,1,0,1,12,False,4,1,,,1604257195,1604257195,12,12
973,3964,1604247426,14,active,0,3964,1,0,1,6,False,2,1,,,1604257195,1604257195,6,6
974,3965,1604255571,3,active,0,3965,1,0,1,16,False,2,1,,,1604257195,1604257195,16,16
975,3966,1604248552,10,active,0,3966,1,0,1,9,False,1,1,,,1604257195,1604257195,9,9
976,3967,1604256985,28,active,0,3967,1,0,1,2,False,2,1,,,1604257195,1604257195,2,2
977,3968,1604247686,14,active,0,3968,1,0,1,7,False,1,1,,,1604257195,1604257195,7,7
978,3969,1604247157,12,active,0,3969,1,0,1,7,False,3,1,,,1604257195,1604257195,7,7
979,3970,1604250032,12,active,0,3970,1,0,1,7,False,0,1,,,1604257195,1604257195,7,7
980,3972,1604248260,4,active,0,3972,1,2,1,17,False,0,1,,,1604257195,1604257195,17,17
